Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Virginia Tech,WASP: A WeArable SuPercomputing Platform for Lost Person Search-and-Rescue [P22071],145,Supercomputer,"WASP,WeArable SuPercomputing Platform,the United States,SAR","computation,wasp,uavs,application,enhanced,backpack,searcher",Aerospace / National labs
NVIDIA GTC 2020,Davis,Accelerating DNN Inference with GraphBLAS and the GPU [S21796],68,"Deep learning,Graph coloring,GraphBLAS","GPU,SuiteSparse","graphblast,gpu,suitesparse",Aerospace / National labs
NVIDIA GTC 2020,Pacific Northwest National Laboratory,Accelerating Graph Algorithms on Exascale Systems [S21642],77,"A* search algorithm,Bar chart,Leadership in Energy and Environmental Design,Magic SysRq key,Signal-flow graph",US Department of Energy,"largescale,computational,latest",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Accelerating Large-Scale GW Calculations in Material Science [s21353],117,"Balancing Act,Graphics processing unit","HPC,cuBLAS,cuFFT,GPU,Volta,FLOPs/Watt","accelerate,technique,memory,scaling,thousand,porting",Aerospace / National labs
NVIDIA GTC 2020,Oak Ridge National Laboratory,Accelerating the Singular Value Decomposition: Measuring SVD Performance for Small Matrices [P21776],79,"Sensor,Sensor array,Signal processing,Singular value decomposition","SVD,GPU,cuSolver,MKL,MAGMA","svd,performance",Aerospace / National labs
NVIDIA GTC 2020,Georgia Tech,A Framework for Measuring Hardware Gather-Scatter Support [P21887],115,"Memory,Operating system,Shared memory","HPC,G/S,CUDA","used,sparse,scatter",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,A Partitioned Global Address Space Library for Large GPU Clusters [S22093],143,Scalability,"NVSHMEM,PGAS,PCI-E,NVLink,Infiniband,CUDA,CPU,QUDA,GPU-Enabled QCD,Chroma,MILC,Breadth First Search","communication,quda,initiate,application,openshmem",Aerospace / National labs
NVIDIA GTC 2020,University of Texas at Austin,A Performance-Portable Diffusion Solver Based on Axom [P21892],120,"Architecture,Code refactoring","Mint,CPU+GPU,CUDA,API","backend,api,solver,complexity",Aerospace / National labs
NVIDIA GTC 2020,Japan Agency for Marine-Earth Science and Technology,Applications of Convolutional Neural Network to the Important Earth Science Problems [P22283],130,"Convolutional neural network,Hypocenter,Neural network,Solar irradiance",,"tremor,determination,image,seismogram,learning,observation,used,applied",Aerospace / National labs
NVIDIA GTC 2020,Helmholtz-Zentrum Dresden-Rossendorf,Big Lasers for Small Accelerators: Exascale Simulations for Better Cancer Therapy [S21850],134,"Jitsi,Open source,TOP500","PIConGPU,Titan","application,analysis,beam,laser",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,CUDA C++ in Jupyter: Adding CUDA Runtime Support to Cling [S21588],85,"GrabCAD,IBM Power Systems,Project Jupyter,Scientist","Jupyter Notebooks,CUDA C++,REPL,Notebooks,CERN,C++,Cling","cuda,implementation,interactively,developer,omnipresent",Aerospace / National labs
NVIDIA GTC 2020,University of Illinois,Day of the Living Cell: Supercomputers Reveal Molecular Design Principles of Photosynthesis [S21500],95,"Charm++,Molecular dynamics","NAMD,Klaus Schulten,GPU,Oak Ridge National Laboratory",decade,Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Deep Learning for Efficient Modeling of High-Dimensional Spatiotemporal Physics [S22094],125,"Outline of physical science,Simple Lie group",,"scientific,learning,spatiotemporal,datasets,rom",Aerospace / National labs
NVIDIA GTC 2020,Korea Institute of Science and Technology Information,Dramatic Acceleration of Quantum Transport Simulations: Solving Non-Equilibrium Green's Function with GPU Devices [P21787],85,,"GPU,the Non-Equilibrium Green's Function,NEGF","strategy,negf,solving,nonequilibrium",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,Effective Use of Mixed Precision for HPC [S21725],54,Numeric keypad,HPC,"practical,adopting",Aerospace / National labs
NVIDIA GTC 2020,NERSC,Enabling 800 Projects for GPU-Accelerated Science on Perlmutter at NERSC [S21582],268,New Classical architecture,"The National Energy Research Scientific Computing Center,HPC,the U.S. Department of Energy Office of Science,NERSC,Perlmutter,Cray,AMD,The NERSC Exascale Science Application Program,GPU,genomics de novo assembly,AMReX","nersc,science,perlmutter,gpus,strategy,energy,preparing,application,enable,outcome,gpu",Aerospace / National labs
NVIDIA GTC 2020,Japan Atomic Energy Agency,Enhancing Intra-Node Multi-GPU Stencil Calculations on DGX-2 Using Concurrent-Addressing with Unified Memory [P21784],127,"Atomic bombings of Hiroshima and Nagasaki,Memory management","the Japan Atomic Energy Agency,AMR,Unified Memory,CUDA,GPU,NVLink,Boltzmann","citylbm,amr,prediction,simulation,multigpu,implementation,gpu,nvlink,equation,mesh",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,Exploiting Novel GPU Parallelism in the SNAP Interatomic Potential [S21976],123,"Material,Molecular mass","SNAP,IAP,GPU,Kokkos","snap,iap,geometric,quantum,structure,calculation,memory",Aerospace / National labs
NVIDIA GTC 2020,Sandia National Laboratories,Explosive DGX Performance for Weapon Component Modeling [P21870],40,"Binary explosive,Sandia National Laboratories",Sandia National Laboratories,porting,Aerospace / National labs
NVIDIA GTC 2020,The National Energy Technology Laboratory,Extensions of TensorFlow-Based Computational Fluid Dynamics [S21816],92,National Energy Technology Laboratory,"The National Energy Technology Laboratory,NETL,TensorFlow,Multiphase Flow with Interphase eXchanges,MFIX,NVIDIA,Multiphase Particle-In-Cell,AI/ML acceleration","multiphase,solver",Aerospace / National labs
NVIDIA GTC 2020,California Institute of Technology,Fromage Optimizer for Deep Neural Networks [P22300],45,"Fromage,Geometric median,Path loss","Fromage,Frobenius,Transformer,GAN",propose,Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Deep Learning for Weather Climate and Space [s21255],101,"Deep learning,Earth observation satellite,General circulation model,Weather forecasting","the National Oceanic and Atmospheric Administration,NASA","accurate,processing",Aerospace / National labs
NVIDIA GTC 2020,Davis,GraphDefense: Toward Robust Large-Scale Graph Convolutional Network [P21806],135,"Energy based model,Generative adversarial network,Graph Fourier Transform,Semi-supervised learning","GraphDefense,Graph Convolutional Networks","gcns,robustness,large,proposed",Aerospace / National labs
NVIDIA GTC 2020,NIST,Hedgehog: A Performance-Oriented General Purpose Library that Exploits Multi-GPU Systems [s21227],98,"Advantage gambling,Load balancing (computing),Parallel computing,Turing completeness",Hedgehog,"manager,memory,dataflow",Aerospace / National labs
NVIDIA GTC 2020,Brazilian Synchrotron Light Laboratory / CNPEM,High-Throughput 3D Image Reconstruction Visualization and Segmentation of Large-Scale Data at the Sirius Synchrotron Light Source [s21278],135,3D reconstruction,"Sirius,CUDA","sirius,synchrotron,segmentation,developed",Aerospace / National labs
NVIDIA GTC 2020,NIKHEF and University of Maastricht,High-Throughput Real-time Data Processing with GPUs at CERN [s21341],129,"Consideration,Program optimization,Safety of high-energy particle collision experiments","GPU,Switzerland,Allen","selection,software,reconstruction,allen,throughput",Aerospace / National labs
NVIDIA GTC 2020,University of Tennessee,HPL-AI: Benchmarking Half-Precision Hardware with Modern Numerical Linear Algebra [S21470],102,"AI accelerator,Direct method (education),Hardware register","HPL,GTC","implementation,instrumental",Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Improving Geophysical Turbulence Models with Machine Learning [S21574],150,,GPU,"turbulence,simulation,prediction,mixing",Aerospace / National labs
NVIDIA GTC 2020,Barcelona Supercomputing Center,Improving Ocean Model Framework NEMO with GPU Port and Asynchronous Execution [P21955],74,"Earth System Modeling Framework,Porting,Tofa?,Wind wave model","NEMO,CUDA,GPU,Fortran/MPI",improvement,Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Integrating NVIDIA Tesla V100 GPUs into a Cray System for a Diverse Simulation Machine Learning and Data Workload [S21569],151,"National Energy Research Scientific Computing Center,Production system,Windows HPC Server 2008","HPC,GPU,the U.S. Department of Energyâs National Energy Research Scientific Computing Center,Perlmutter,NERSC,the Knights Landing,Cray,the NERSC Exascale Science Application Program,NESAP,Cori","application,nersc,nesap,cori,energy,integrated,workload",Aerospace / National labs
NVIDIA GTC 2020,National Center for Atmospheric Research,Interpretable Deep Learning for Hurricane Intensity Prediction [S21548],99,"Rapid intensification,Saffir�Simpson scale,Tropical cyclone",the Hurricane Weather Research,"intensity,couple",Aerospace / National labs
NVIDIA GTC 2020,Naval Research Lab,Learning the Hard Parts: Scaling Reacting Flow Simulations with Machine Learning [S21740],133,"Chemical substance,Computational fluid dynamics,Kevin Systrom,Technique",CFD,"explore,machine",Aerospace / National labs
NVIDIA GTC 2020,Aselsan Research Center,Matrix-Free Real-time Online Reconstruction of Compressive Focal Plane Array Camera [P21865],138,"Matrix multiplication,Real-time,Scientific method",,"reconstruction,online,compressive,highresolution,using,involve,image,camera",Aerospace / National labs
NVIDIA GTC 2020,Predictive Science Inc.,Optimizing Stencil Operations in OpenACC [P21723],145,"Directive (programming),Inventory optimization,Shadow volume,Supercomputer","HPC,CUDA,Nsight Systems","openacc,gpus,using,cuda,many,performance",Aerospace / National labs
NVIDIA GTC 2020,RIKEN Center for Computational Science,Performance Comparison of Search for Neighbor-Particle in MPS on Xeon Xeon Phi and GPU [P21969],87,MP,"MPS,Xeon,GPU","neighborparticles,xeon,simulating",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Roofline Performance Model for HPC and Deep-Learning Applications [s21565],98,,"Roofline,GPU,Nsight Systems/Compute,HPC,TensorFlow","performance,analyze,nvprof,automate",Aerospace / National labs
NVIDIA GTC 2020,NIST,Scalable Workflow System for Whole Slide Microscopy Analyses Using Neural Networks [P21983],98,"Artificial intelligence,Computer vision,List of programming languages for artificial intelligence,Object detection",,tensorrt,Aerospace / National labs
NVIDIA GTC 2020,DST/CSIRO,Scaling Data by 109x and Compute for Deep-Learning Applications [S21390],63,"Artificial intelligence,Big data,Scalability,Utah Data Center",HPC,"highresolution,optimized",Aerospace / National labs
NVIDIA GTC 2020,Jlich Supercomputing Centre,The Rocky Road to Tasking: Task Queues Reloaded [S21189],109,"Automatic parallelization,Bigg Boss (Hindi season 14),Scheduling (computing)","C++,GPU","optimization,implementation,thread,parallelize,gpus,cuda",Aerospace / National labs
NVIDIA GTC 2020,Jlich Supercomputing Centre,Tiny Tiny Tasks: Fine-Grained FMM Tasking on GPUs [P22059],127,"Availability heuristic,Task parallelism,Task-based language learning","HPC,GPU,CPU","gpu,exploited,gpus",Aerospace / National labs
NVIDIA GTC 2020,National Center for Atmospheric Research,Toward an Exascale Earth System Model with Machine Learning Components: An Update [S21834],124,"Embryo Ranking Intelligent Classification Algorithm,Graphics processing unit,Yann LeCun","GPU,the U.S. National Center for Atmospheric Research,the Model for Prediction Across Scales-Atmosphere,MPAS-A,the MOM-6 Ocean Model,NCAR","atmospheric,direction,parameterizations,discus,begun,many,speculated",Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Turbulence Forecasting via Neural ODEs [P22054],143,"Coupling constant,Reduced form,Turbulence","Fluid,the Navier-Stokes","interaction,modeling,improve,characterized",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Workload Management for Complex Workflows on a GPU-Enabled Heterogeneous System [s21608],141,"Heterogeneous System Architecture,National Energy Research Scientific Computing Center,National Renewable Energy Laboratory,Real-time computing,Scientific method","The National Energy Research Scientific Computing Center,the U.S. Department of Energy,HPC","scheduling,scheduler,workflow,workload",Aerospace / National labs
NVIDIA GTC 2020,Red Hat,Accelerate ML Lifecycle with Containers Kubernetes and NVIDIA GPUs (Presented by Red Hat) [S22516],140,"Data science,Kubernetes,Systems Modeling Language","Jupyter Notebooks,Red Hat OpenShift","container,technology,easily,gpus,provide,capability,customer,example",Software / Cloud Services
NVIDIA GTC 2020,IBM,AWDF: An Adaptive Weighted Deep Fusion Architecture for Multi-Modality Learning [P21985],133,"Cold fusion,Deep learning,Multimodal learning","CareerCon,IEEE Big Data","awdf,propose,attention,dealing",Software / Cloud Services
NVIDIA GTC 2020,Chinese Academy of Sciences,Container-Based Artificial Intelligence Applications Deployment Platform for GPU High Performance Computing Clusters [P21902],128,"Applications of artificial intelligence,Platform as a service,Qlik,Superuser,Virtual machine,Windows HPC Server 2008","HPC,GPU,PCI","gpu,implemented,solve",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,CTR Inference Optimization on GPU [s21416],144,"CTR,Dot-com bubble,Model organism,Recommender system,Ruf CTR,Statistical inference",,"computing,issue,advertising",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Deploying your Models to GPU with ONNX Runtime for Inferencing in Cloud and Edge Endpoints [s21379],172,Edge device,"GPU,ONNX Runtime,ONNX,AML Notebooks,Azure IoT Edge","gpu,execution,application,using,azure",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Edge Computing for Building Machine Learning Pipelines Using Azure Stack (Presented by Microsoft) [S22473],67,"Data localization,Data sovereignty,Jeffrey Snover,Machine learning",Microsoft,"edge,cloud,latency",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Faster Transformer [s21417],92,"Key (engineering),Principal component analysis,Transformer (machine learning model)","BERT,XLNet,CUTLASS","inference,bert,xlnet",Software / Cloud Services
NVIDIA GTC 2020,Amazon,From Hours to Minutes: The Journey of Optimizing Mask-RCNN and BERT Using MXNet [S22483],46,"Deep learning,System resource","BERT,MXNet,Amazon Web Services",,Software / Cloud Services
NVIDIA GTC 2020,Google,Google Cloud AutoML Video and Edge Deployment [S22022],103,"Google Cloud Platform,List of Nvidia graphics processing units","Google,Video Classification,Tensorflow,Jetson",,Software / Cloud Services
NVIDIA GTC 2020,IBM,GradZip: Gradient Compression Using Alternating Matrix Factorization for Large-scale Deep Learning [P22289],84,"Compression stockings,Deep learning",GradZip,"matrixfactorization,dense,thinking,gradzip",Software / Cloud Services
NVIDIA GTC 2020,Amazon Web Services,Improve ML Training Performance with Amazon SageMaker Debugger (Presented by Amazon Web Services) [S22493],104,"JTAG,Learning,ML,ML.NET,Parameter","Amazon,GPU","analyze,developer,challenging,ensure",Software / Cloud Services
NVIDIA GTC 2020,IBM,Is the Label Trustworthy? Training Better Deep-Learning Models via Uncertainty Mining Net [P22055],134,"Deep learning,Statistical classification","Uncertainty Mining Net,UMN","umn,generative,uncertainty",Software / Cloud Services
NVIDIA GTC 2020,IBM,Manifold Regularization For Time Series Embedding [P22063],118,"A-ha,Data visualization,Exact sequence",VAE,"vae,used,representation,challenge,parse,identify",Software / Cloud Services
NVIDIA GTC 2020,Alibaba Group,Performance Optimization on Quantized Deep-Learning Models [S22484],118,"Quantization (signal processing),Quantum entanglement,Statistical inference","GEMM,GPU","proposed,technique,transformation,im2col",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,PyTorch from Research to Production [S21928],83,"Convolutional neural network,Neural network,PyTorch",PyTorch,inference,Software / Cloud Services
NVIDIA GTC 2020,National Tsing Hua University,qCUDA-ARM: Virtualization for Embedded GPU Architectures [P21851],113,"Edge computing,Internet of things,Resource management (computing),System resource","GPU,CUDA","qcudaarm,application,virtualization,performance,native,emergence,changing,centralized",Software / Cloud Services
NVIDIA GTC 2020,Amazon Web Services,Recommendation Systems Using Distributed Graph Convolutional Networks (GCN) on GPUs (Presented by Amazon Web Services) [S22491],83,"Deep learning,Ha-ha,Non-Euclidean geometry","Graph Convolutional Networks,Deep Graph Library,Apache MXNet","simple,image,sequence,timeseries,language,information",Software / Cloud Services
NVIDIA GTC 2020,Principal Software Engineer Manager,SPTAG and GPU Acceleration for Approximate Nearest Neighborhood Search [s21561],122,"Nearest neighbor search,PageRank,Space partitioning","ANN,algorithm,RAPIDS,FAISS,GPU,SPTAG","gpu,hashing,accelerated,gpus,essential,many",Software / Cloud Services
NVIDIA GTC 2020,Microsoft,Visual Anomaly Detection using NVIDIA DeepStream with Azure IoT [S22675],211,"Internet of things,OpenAI,Streaming media","NVIDIA,IoT Central,Custom Vision","solution,device,realtime,operate,using,deepstream,azure,pipeline,nvidia,vision",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Wide and Deep Recommender Inference on GPU [S21559],137,Deep learning,"Tensorflow,NVIDIA,GPU","inference,tensorrt,recommendation,machine,trained,tensorflow,engine,leverage,nvidia",Software / Cloud Services
NVIDIA GTC 2020,OmniSci,Accelerated Analytics Fit for Purpose: Scaling Out and Up (Presented by OmniSci) [S22556],110,Visualization (graphics),"OmniSci,GPU","every,analytics,laptop,computation",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Accelerating AI Workflows with NGC [S22421],121,Artificial intelligence,"NVIDIA,NGC","sdks,looking",Software / Cloud Services
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Accelerating Applications for the NERSC Perlmutter Supercomputer Using OpenMP [s21387],122,List of Nvidia graphics processing units,"Perlmutter,NVIDIA,HPC,Fortran,GPU,NESAP,NERSC","openmp,application,perlmutter,nvidias,compiler,feature,included,others,nersc,early,nerscnvidia",Software / Cloud Services
NVIDIA GTC 2020,Barcelona Supercomputing Center,Accelerating Chemistry Modules in Atmospheric Models Using GPUs [S22005],139,"Atmospheric model,CLaMS,Chemical process,The Final Solution (novel)","The Multiscale Online Nonhydrostatic AtmospheRe CHemistry model,the Barcelona Supercomputing Center,EBI,KPP","used,gas,multiple,camp,explore",Software / Cloud Services
NVIDIA GTC 2020,Lablup Inc.,Accelerating Hyperparameter Tuning with Container-Level GPU Virtualization [S21463],96,"Hyperparameter optimization,Pareto efficiency,True Detective","GPU,TGS,ENAS,NNI,Backend","gpus,gpu",Software / Cloud Services
NVIDIA GTC 2020,Computermind Corp.,Acceleration of Test Data Quality Assurance Technology Using Neuron Coverage [P21809],104,"CP System II,Mirror stage,Procedural generation","DL,DeepXplore","deepxplore,coverage,quality,processing,neuron",Software / Cloud Services
NVIDIA GTC 2020,TempoQuest Inc.,AceCAST GPU-Enabled Weather Research and Forecasting Model Development and Applications [P22064],148,"Benefit performance,Meteorology,Weather Research and Forecasting Model","The Weather Research,WRF,HPC,TQI,GPU,AWS","operational,gpus,solution",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Advanced Scientific Visualization with NVIDIA Omniverse [S21973],216,"Aphantasia,Flow visualization,Scientific visualization","NVIDIA,3D,PhysX. Further","omniverse,scientist,content",Software / Cloud Services
NVIDIA GTC 2020,VividQ,Advances in Real-Time 3D Hologram Generation [S21248],113,,"VividQ,3D,GPU","holographic,hologram,using,allows,gpus,facilitates,extraction",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,A Faster Radix Sort Implementation [S21572],75,"Direct memory access,GUID Partition Table,Memory operations per second",Gkey/s,"used,reduce",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,AIaaS: Scaling AI Infrastructure for the Enterprise from DGX-1 to SuperPOD [S21996],135,"Artificial intelligence,Oz the Great and Powerful","GPU,GUI,AIaaS,DGX-2","container,nvidia,getting,enterprise",Software / Cloud Services
NVIDIA GTC 2020,SF Techology,AI Argus: A Unique Insight Into Logistics [P21812],138,Artificial intelligence,"Xavier,China,SF,Operator,AI Argus","detection,xavier,china,package,damage,edge",Software / Cloud Services
NVIDIA GTC 2020,Red Hat,AI/ML with vGPU on Openstack or RHV Using Kubernetes [S22106],89,"Cloud gaming,Flexible electronics,Simultaneous multithreading","GPU,AI/ML,Red Hat Openstack Platform,SR-IOV","aiml,vgpu,sriov,workload",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,An Overview of GPU Recurrent Neural Network Performance [S21301],59,"Qualifications framework,Recurrent neural network,Scientific method","RNN,GPU","performance,advantage,disadvantage",Software / Cloud Services
NVIDIA GTC 2020,Poteha Labs,AutoFAQ: Automation of Customer Support for Most Common Questions [s21252],93,"Business value,Mach Loop,Stack Exchange","Python,NLP","language,automate,integrate,architecture",Software / Cloud Services
NVIDIA GTC 2020,Inc.,Building a Smart Language-Understanding System for Conversational AI with HuggingFace Transformers [S22647],114,"Natural language,Natural-language understanding,Trans-Anatolian gas pipeline","HuggingFace,NLU,BERT,PyTorch,TensorFlow","leverage,create,sentence,transformer,example",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,CLOUDXR: Streaming AR and VR [S22178],97,Extended reality,"OpenVR,XR","gpus,application",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Combined Python/CUDA JIT for Flexible Acceleration in RAPIDS [S21393],126,"Compiler,Python (programming language)","RAPIDS/cuDF,Python,CUDA,Jitify,cuDF,the Python UDF,C++,RAPIDS","flexibility,compiled,kernel,implementation",Software / Cloud Services
NVIDIA GTC 2020,Preferred Networks,CuPy Overview: NumPy Syntax Computation with Advanced CUDA Features [S22471],49,,"CuPy,Python","advantage,cutensor,cudnn",Software / Cloud Services
NVIDIA GTC 2020,Uber Technologies,Distributed Deep Learning with Horovod on Spark [s21300],121,"Apache SINGA,Distributed Training Operations Center,TensorFlow","TensorFlow,MXNet,Horovod,GPU,Python,PyTorch","horovod,designed,gpu,used,gpus,multiple",Software / Cloud Services
NVIDIA GTC 2020,Intuit,Document Understanding Platform: Extracting Structured Information from Financial Documents [S21459],111,"Financial Services Authority,Financial services,Memorandum of understanding,Small business","Intuit,Document Understanding Platform","selfemployed,tedious,timeconsuming",Software / Cloud Services
NVIDIA GTC 2020,Artificial Intelligence Research Institute (AIRI),Efficient 3D Convolutional Network Design for Human Instance-Level Video Action Recognition [P22275],92,"Activity recognition,Edge computing",Jetson AGX Xavier,"xavier,module,accuracy,discus",Software / Cloud Services
NVIDIA GTC 2020,Johns Hopkins University,Espresso: A Fast End-to-End Neural Speech Recognition Toolkit [s21239],94,Speech recognition,"Espresso,ASR,WSJ,LibriSpeech,ESPnet","asr,decoding,toolkit",Software / Cloud Services
NVIDIA GTC 2020,RIST,Evaluation of a Multi-GPU Optimized Non-Hydrostatic Ocean Model with Multigrid Preconditioned Conjugate Gradient Method [P21930],127,"Conjugate gradient method,Supercomputer","GPUs,MGCG,kinaco","gpus,multigrid,application,many,evaluated,discussed,numerical",Software / Cloud Services
NVIDIA GTC 2020,RCPE GmbH,EXtended Particle System (XPS): High-Performance Particle Simulation [P21775],66,"Discrete element method,Finite element method,List of DC Multiverse worlds",GPU,,Software / Cloud Services
NVIDIA GTC 2020,AdaCore,Exterminating Buffer Overflows and Other Embarrassing Vulnerabilities with SPARK Ada on Tegra [S21122],121,SPARK (programming language),"NVIDIA,Tegra,ARM,GPU,Ada/OpenACC,Ada","application,language,technology,gpu",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Fast Distributed Joins with RAPIDS and UCX [s21482],136,,"RAPIDS cuDF,UCX,GPU,RAPIDS,NVLINK,Infiniband,DGX-2,GB/s throughput,IB,GB/s","implementation,communication,multiple,gpus,distributed,alltoall,demonstrate,achieve,rapid",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,From High to Low Level: A Comparative Study of Programming Approaches for NVIDIA GPUs [S21308],146,,"GPU,Python,CUDA C,Numba,CuPy","programming,implementation,gpus,optimized,simulate,discus,development,highlevel,python",Software / Cloud Services
NVIDIA GTC 2020,Google,GPipe: Efficient Training of Giant Neural Networks Using Pipeline Parallelism [S21873],129,"Convolutional neural network,Deep learning,Software quality",GPipe,"scaling,different,accelerator,gpipe,parallelism,pipelining",Software / Cloud Services
NVIDIA GTC 2020,RidgeRun,How to Build a Multi-Camera Media Server for AI Processing on Jetson [S22396],103,AI accelerator,"Jetson Board,Interpipes,DeepStream,AI","specific,demonstrate,deepstream",Software / Cloud Services
NVIDIA GTC 2020,Chubu University,Knowledge Transfer Graph for Deep Collaborative Learning [P22383],115,"Deep learning,Graph (abstract data type)",,"propose,flexible,achieve",Software / Cloud Services
NVIDIA GTC 2020,Berkeley,Learning Human Objectives by Evaluating Hypothetical Behavior [P22312],20,"Q-learning,Reinforcement,Unsafe at Any Speed",,"presence,algorithm",Software / Cloud Services
NVIDIA GTC 2020,Carnegie Mellon University,Modularizing Natural Language Processing [S21560],109,"Artificial intelligence,Conceptual model,Natural language,Natural language processing,Pomodoro Technique",NLP,"nlp,development,abstraction",Software / Cloud Services
NVIDIA GTC 2020,Stanford University,Motion Reasoning for Goal-Based Imitation Learning [P22363],116,"Demonstration (political),Shadowgun,Symbolic interactionism",,"demonstrator,motion,enables,execution,reproduce",Software / Cloud Services
NVIDIA GTC 2020,Facebook,Named Tensors Model Quantization and the Latest PyTorch Features [S22145],86,"Integrated development environment,List of Red Digital Cinema cameras,PyTorch,Python (programming language),Standard ML","PyTorch,PyTorch 1.0","training,introduction,production",Software / Cloud Services
NVIDIA GTC 2020,Facebook AI,Opening Up the Black Box: Model Understanding with Captum and PyTorch [S22147],86,"Integrated development environment,List of Red Digital Cinema cameras,PyTorch,Python (programming language),Standard ML","PyTorch,PyTorch 1.0","training,introduction,production",Software / Cloud Services
NVIDIA GTC 2020,SigOpt,Optimized Image Classification on the Cheap [s21598],103,"Computer vision,Fine-tuning,Stanford University,Transfer learning","Stanford,Stanford Cars","optimization,technique,using,building",Software / Cloud Services
