conference,title,description,company
Digital Work 2020,Activating Change Management Principles in your Learning and User Engagement Initiatives (*All Times EDT),"Adopting a new tool, process or procedure comes with a lot of angst for many users. Most of the time, all they want to know is - in the new tool, how can I replicate the work I've been doing for the last 20 years. To truly transform a workplace and adopt new ways of working in a digital workplace, we need to help users come along with us through our training and communications initiatives. The impact of the change cycle in user engagement
How to incorporate the company's strategic initiatives into your adoption planning
The critical role of implementing a communication plan during training to increase adoption velocity
How to design your training initiative to follow the project life cycle, and play a more effective role in user engagement",Gannett
Digital Work 2020,AI + Human: A Total Reimagination of Learning and Work (*All Times EDT),"After 50+ years of computing power growth supported by Moore's Law, and 60 years of AI development, we've entered an industry 4.0 era, with affordable cognitive computing power. The speed of innovation, competition and change is unprecedented, and advancing technologies mean both exponential competitor growth possibilities, as well as employee augmentation growth opportunities. With this the meaning and model of work and learning needs an overhaul. How do we level up work performance and creativity from individuals and teams in this new era?  The method requires total reimagination. What is the power of ""AI + Human/Team/Organization""?  How does it work? Understand the upcoming technology landscape and forces of change
Consider new visions for the collaborative intelligence of AI and humans at work
Learn how to prepare employees to work and learn with AI, through case studies",IEEE ICICLE
Digital Work 2020,The 2020 State of Digital Workplace Report (*All Times EDT),"Join Siobhan Fagan, Managing Editor and Sarah Kimmel, VP of Research, as they report key findings from the updated 2020 State of the Digital Workplace report, including: Impacts of the pandemic on the maturity of digital workplace practice
Shift in top priorities for digital workplace
Increasing effectiveness of digital workplace tools 
Surprise, surprise! Transitioning to digital workplace was easier than anyone thought.
Organizational plans for return to the office...or will they?",Reworked / CMSWire
Digital Work 2020,Keynote Address - What I Saw at the Workplace Revolution: Lessons from the Digital Frontlines (*All Times EDT),"Fast Company Editor-in-Chief Stephanie Mehta spends time with the entrepreneurs and inventors who are transforming business at dizzying speeds. She also knows, from her years interviewing leaders of the biggest corporations in the world as an editor at Fortune and The Wall Street Journal, that big organizations are working hard to inject their cultures and processes with entrepreneurial and innovative zeal. A natural storyteller, Mehta provides a lively, anecdote-filled roadmap that offers executives practical, actionable insights on how they can drive their digital company toward true transformation.",Fast Company
Digital Work 2020,Employee Experience Needs a New Approach (*All Times EDT),"Creating a seamless and integrated digital workplace experience requires putting employee needs front and center. But that's a challenge when you have siloed and disconnected applications that are creating fragmented experiences. Troy Campano, Head of Product at Workgrid, shares how you can align your technology around the employee and craft flexible experiences that scale and grow with your organization's needs.",Workgrid
Digital Work 2020,[Roundtable Discussion] Meeting the Employee Experience and Culture Expectations of Your Organization (*All Times EDT),"Don't miss this opportunity to join an exclusive group of your peers for an open and interactive conversation on the link between employee experience and building a connected culture, and share insights in practical approaches to building to meet and exceed expectations.",Reworked/CMSWire
Digital Work 2020,It's in The Vault: Rebuilding our Company-Wide Wiki (*All Times EDT),"As our company grew from 75 to 5,000+ employees in the span of five years, the imperative grew rapidly to comprehensively recreate our basic Wiki into a holistic intranet that would support the business's rapid growth. What made this project a success?  In this session we will discuss how we structured our project team.  We will present the problem our new intranet looked to solve, how we engendered new trust in the tool, the failures we overcame and the lessons learned, our information architecture development, content migration strategy and integrated change management practices.  We'll also include how we measured success, the metrics tracked and how this approach - while we built this internally - can be applied to any intranet-like project. Create a project team based on the trifecta of people, process, and technology
Integrate change management, communications planning, and employee participation in an intranet project
Learn from our mistakes!  Learn what worked during our project, what didn't and how you can apply our experience to your intranet project",Shopify
Digital Work 2020,Streamlining Information Flows in the Digital Workplace: The Role of Artificial Intelligence and Knowledge Engineering (*All Times EDT),"An efficient digital workplace is about getting the right information to the right people at the right time - the holy grail of personalization and the decades long efforts to optimize knowledge processes. With the advent of artificial intelligence, some believe that traditional information architecture approaches are not needed any longer. Nothing could be further from the truth. In fact AI requires IA (information architecture) now even more than ever.  Current incarnations of IA include knowledge architecture and knowledge engineering. vIn this session, Seth Earley, author of the AI Powered Enterprise, will review developments in artificial intelligence and knowledge and information architecture and show how each of these disciplines need to come together to speed up the information metabolism of the organization and streamline the user experience across every department and process. The foundation and underpinning of information structures are required for the modern digital workplace — especially as more work migrates to remote locations and distant collaboration. ",EIS
Digital Work 2020,Work is Not a Place -- Its an Activity! (*All Times EDT),"Key trends across the globe will be highlighted in this session by this international corporate leader. As more people collaborate across departments, functions, business units and time zones, how are digital workspaces achieving the merger of the accompanying internal and external communications and collaboration? How are successful businesses coping with five generations collaborating in the same workspace? What are the latest happenings for Firstline Workers, who make up 80% of the global workforce? What promising developments are currently underway as COVID-19 impacts the way the world is working - right now? Gain insight into workplace trends around the world, from 4-day work week trends, remote working and new ways of working
Learn about the benefits and challenges of the changing landscape of modern ways of working
Understand the critically relevant role of change management capabilities in today's global climate",Microsoft
Digital Work 2020,The Intranet Industry Changed. Were You Paying Attention? (*All Times EDT),"Newly distributed workplaces make intranets more crucial than ever. The industry has been shaken up with smarter deployment options, a second look at underlying technology, and new approaches to how organizations define what an intranet should and, more importantly, should not be. How organizations are rethinking their intranet deployment models to help today’s distributed workforce
What you need to consider the next time you overhaul your organization’s intranet
Case study examples of how leading companies are proving the value of intranet modernization",Simpplr
Digital Work 2020,4 Strategies for Creating a No Fail Employee Experience (*All Times EDT),"As the global pandemic is turning the business environment on its ear, organizations are figuring out that employees can't be productive and efficient if they do not feel supported or have the right resources. Attend this session and get a detailed plan for building a digital experience that supports employees long-term success, plus find out how The Riverstone Group made their employee experience vision a reality, by putting employees' needs first. Why a great employee experience is critical to business success
Keys to effectively deliver digital experiences that put the employee in the center
How to future-proof your employee experience through choosing the right technology and approach","RiverStone, Workgrid"
Digital Work 2020,How to Keep Employees Engaged: The Strategic Role of the Digital Workplace (*All Times EDT),"Research shows that informed and engaged employees are happier and more productive in the workplace, leading to better business results. The success of your digital workplace can directly affect the level of engagement amongst employees. Join Rob Ryan, Senior Director of Strategic Development and Business Value, to learn best practices for driving employee engagement in your digital workplace. Hear real examples and practical strategies around aligning your workforce, promoting a common corporate culture, streamlining the onboarding process -- and overall increasing employee engagement.",LumApps
Digital Work 2020,How to Build a Digital Workplace that Actually Works (*All Times EDT),"Companies must modernize how they work. Otherwise, they risk leaving customers unsatisfied and employees unengaged.  Modern work starts with a digital workplace, and a digital workplace requires information and insights. Too often, employees spend hours searching across silos and systems for information, as companies lack a business strategy and practical design for their digital workplaces. They build clouds, content platforms, apps, and analytics, and then hope to transform processes using AI augmentation. In reality, these technologies throw off inhuman amounts of data, which overwhelms the people doing the work. Sinequa’s enterprise search provides the missing building block. Join Sinequa and industry leaders to explore how to build digital workplace experiences that engage employees. Because employees gain a unified view of their information delivered in a familiar search-based experience they adopt digital workplaces more easily.",Sinequa
Digital Work 2020,Hybrid Work: the Requisite Merger of Intranet & Teams into a Modern Digital Workplace (*All Times EDT),"The COVID crisis has completely reshaped how employees engage with their company and their colleagues. Hybrid Work is becoming the new normal and requires a merger between your Intranet and Microsoft Teams for an effective and comprehensive Digital Workplace structure. In this session, we will review with Lorne Phelps from Powell Software and Erick Straghalis from StitchDX the different aspects that need to be considered in order to define a modern digital workplace that truly drives the Hybrid Work transformation.",StitchDX
Digital Work 2020,Defining the Modern Intranet - the Backbone of Employee Experience (*All Times EDT),"A great intranet is a unifying platform enmeshed with the organization's fabric and culture, tied tightly with the internal brand engagement. In this session we will explore the ways in which an intranet can best serve its constituents.  We will look at why an intranet should be approached as the core employee experience destination, and the importance of high alignment between your intranet and every employee engagement touch point. We will explore how a modern intranet contributes to greater employee retention, productivity and collaboration, and we will discover the ways in which an effective modern intranet is built, implemented and communicated to garner more productivity, shared knowledge, and engaged employees. The anatomy of an effective modern intranet
The value of aesthetics and design, and key intranet design components
Talking points that will help garner ""buy-in"" from leadership",Environmental Science Associates
Digital Work 2020,Transformation Tactics: Managing Big Change (*All Times EDT),"What does change management really feel like? A series of stories on thinking and working differently, with real-world examples and practical take-home ideas.  Join this breakout from Jim MacLennan, former SVP and CIO at IDEX Corporation, for a leader's perspective on the difference between leading v. managing big change, collaboration in practice and bringing it all together for powerful transformation.",Maker Turtle
Digital Work 2020,Keynote Address: Measuring Your Way to Digital Workplace ROI and Success (*All Times EDT),"Creating a compelling digital employee experience is now an imperative with the mass global shift to remote work. But modern digital workplaces also have to deliver significant benefits to the business so that investment and evolution can continue through fast-changing times. Learn how leading organizations are using tools and techniques like benchmarking, talent analytics, business intelligence, strategy execution platforms, and popular goal tracking frameworks like OKRs to ensure their digital workplace is moving the needle for the business. Come away with real-world examples and actionable steps to instrument your digital workplace to all new heights of performance using measurable outcomes and ROI.",Optimal Disruption
