Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Simula Research Laboratory,Efficient Simulations of Patient-Specific Electrical Heart Activity on the DGX-2 [P22031],133,"Computer simulation,N-(p-Amylcinnamoyl)anthranilic acid,Pulseless electrical activity",,"dgx2,heart,patient,suffered,emerging,alternative",Higher Education / Research
NVIDIA GTC 2020,Universidad Industrial de Santander,Exploring the Impact of Functional Package Manager Over a Non-Traditional High Performance Computing System [P21980],83,"Constructed language,Supercomputer","HPC,Nix","improve,analyze,energy,hpc,industry,installing",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Few-Shot Adaptive Video-to-Video Synthesis [S21142],121,"Capability-based addressing,Semantic memory",,example,Higher Education / Research
NVIDIA GTC 2020,University of Mnster,Fireiron: A Scheduling Language for High-Performance Linear Algebra on GPUs [P22298],62,MD5,"Fireiron,DSL,GPU,NIVIDA,cuBLAS","dsl,compiler,allows,specification,composition,simple,reusable",Higher Education / Research
NVIDIA GTC 2020,Icahn School of Medicine at Mount Sinai,GPU-Accelerated Next-Generation Sequencing Bioinformatic Pipeline [S21163],128,"Bioinformatics workflow management system,DirectX Video Acceleration,List of RNA-Seq bioinformatics tools","NGS,BWA,PICARD,GATK,Samtools,WES,WGS,GPU","gpu,performance,cpu",Higher Education / Research
NVIDIA GTC 2020,University of Tokyo,Heterocomputing and Transprecision Computing in Unstructured Low-Order Finite-Element Analyses on Volta GPUs [P21857],70,Bfloat16 floating-point format,"Volta,GPUs","bottleneck,heterocomputing",Higher Education / Research
NVIDIA GTC 2020,University of Mnster,High-Performance Deep-Learning Operators on NVIDIA GPUs via Multi-Dimensional Homomorphisms [P21790],133,"CUDA,Eigenvalues and eigenvectors,Holism","Matrix Multiplication,Multi-Dimensional Homomorphisms,GPU,NVIDIA,cuBLAS,GEMM","mdhs,nvidia,performance,convolution,automatically,optimized,library",Higher Education / Research
NVIDIA GTC 2020,Ohio State University,High Performance Distributed Deep Learning: A Beginner's Guide [S21546],141,"Deep learning,Supercomputing in Europe,Web Ontology Language","AI,HPC,TensorFlow,CNTK,PyTorch,GPU,MVAPICH2-GDR","performance,gpus,challenge,tensorflow,mvapich2gdr,advance,improve",Higher Education / Research
NVIDIA GTC 2020,University of Illinois at Urbana-Champaign,Hybrid Molecular Mechanics: Artificial Intelligence Simulation Methods to Study Molecular Systems [S22090],137,"Graphics processing unit,Molecular dynamics","GPU,MD,NAMD,ANI,quantum mechanical","molecular,performance,coupling,namd,learningbased,using,achieve,sampling",Higher Education / Research
NVIDIA GTC 2020,Princeton Plasma Physics Laboratory,Implementation of Artificial Intelligence/Deep Learning Disruption Predictor into a Plasma Control System [P22517],168,Sky Nature,"NATURE,Princeton's AI,NVIDIA,Volta,ITER","disruption,plasma,software,capability,indicator,future,provide,deeplearning,modern,described",Higher Education / Research
NVIDIA GTC 2020,Shanghai Jiao Tong University,Inference Path Optimization for Deep Reinforcement Learning on NVIDIA DGX-2 [P22339],151,"Computer performance,PCI Express,Shanghai Jiao Tong University","the Shanghai Jiao Tong University High Performance Computing Center,PCI,GPU,Volta Multi-Process Service,NUMA","computation,gpu,dgx2,machine,school,institution",Higher Education / Research
NVIDIA GTC 2020,University of Tennessee,MAGMA: Accelerating Linear Algebra Through Mixed-Precision and Tensor Cores [S21557],112,"Linear algebra,Matrix multiplication algorithm","MAGMA,GPU,Classic",,Higher Education / Research
NVIDIA GTC 2020,CETYS Universidad,MemEAPF for Mobile Robot Path Planning on Jetson Platform [P21986],114,"Artificial turf,Implementation,Mobile robot,Nvidia Jetson,Pathfinding",,"membrane,evolutionary,computing,efficiently",Higher Education / Research
NVIDIA GTC 2020,National University of Singapore,Mobile Manipulation Toward Cleaning Dining Tables [P22364],118,Human impact on the environment,GPU,"developing,hence",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Multiphysics Software Development in the Age of AI [P21687],135,Neural network,,"equation,pdes,solve,multiple,geometry,namely",Higher Education / Research
NVIDIA GTC 2020,Tarleton State University,N-Body Simulation of Binary Star Mass Transfer [P21883],109,"Binary system,Mass transfer",,"study,contactbinary,evolution,galaxy,abundance",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Overcoming Latency Barriers: Strong Scaling HPC Applications with NVSHMEM [s21673],121,"American Association for the Advancement of Science,Multinomial distribution","HPC,GPU,NVSHMEM,QUDA,MILC,Chroma,InfiniBand,Summit","gpus,nvshmem,scaling,timetosolution",Higher Education / Research
NVIDIA GTC 2020,University Of South Florida,Parallel Index-Based Search Operation for Database Systems via GPUs [P21987],132,"Database,Database index","GPUs,algorithm,GPU","characteristic,gpus,optimizing,utilization,gpu,technique,searching,handling",Higher Education / Research
NVIDIA GTC 2020,University of Alaska Fairbanks,Rapid Pathogen Genomics using Nanopore Sequencing and GPUs [P22462],74,Wastewater surveillance,"Clara Genomics Analysis SDK,GPU","used,analysis,combination,nanopore",Higher Education / Research
NVIDIA GTC 2020,University Of Illinois at Urbana-Champaign,Rebalancing the Load: Profile-Guided Optimization of the NAMD Molecular Dynamics Program for Modern GPUs using Nsight Systems [s21547],131,"Dynamics,Graphics processing unit","Nanoscale Molecular Dynamics,Nsight Systems,Nsight Compute,NAMD,CPU,GPU","performance,cpu,doubled,profileguided",Higher Education / Research
NVIDIA GTC 2020,UC San Diego - San Diego Supercomputer Center,Running Multi-Messenger Astrophysics with IceCube Across All Available GPUs in the Cloud [S22206],153,"Boss Doctor Rhythm DR-110,Computational model","AWS,GCP,the IceCube Neutrino Observatory,GPGPU,IceCube,GPU","ice,gpus,simulation,icecube,neutrino,needed,natural,peak,marshaled",Higher Education / Research
NVIDIA GTC 2020,Abertay University,Runtime Analysis of Spatial Structure: A CUDA Implementation of Minkowski Functionals [P21829],94,Protein structure,"Minkowski,CUDA","openacc,interested,simulated",Higher Education / Research
NVIDIA GTC 2020,The Georgia Institute of Technology,Scaling Deep Learning Interpretability by Visualizing Activation and Attribution Summarizations [S21808],156,"Neural network,Systems engineering","Summit,ImageNet","feature,neuron,visualization,summarizes,learned,technique,aggregation,large,image",Higher Education / Research
NVIDIA GTC 2020,Berkeley,Self-Supervised Robot Learning from Pixels [s21921],125,"Cognitive skill,Occipital lobe,Perception,Robot,Robotics",algorithm,"representation,learning,policy",Higher Education / Research
NVIDIA GTC 2020,National Tsing Hua University,Sim-to-Real: Virtual Guidance for Robot Navigation [P22224],134,"Radio navigation,Scientific method",Husky,"robot,module,virtual,based,single",Higher Education / Research
NVIDIA GTC 2020,Carnegie Mellon University,*Top 5 Poster Nominee - Photometric Mesh Optimization for Video-Aligned 3D Object Reconstruction [P22276],129,"3D reconstruction from multiple images,Component video",RGB,"photometric,shape,optimizing",Higher Education / Research
NVIDIA GTC 2020,Simula Research Laboratory,Toward Detailed Organ-Scale Simulations in Cardiac Electrophysiology [P21982],58,Cardiac electrophysiology,,"simulation,introduces,describes,challenge",Higher Education / Research
NVIDIA GTC 2020,Prague,Toward Optimal Implementation of Lattice Boltzmann CFD Simulator for Multi-GPU Clusters [P21922],94,Lattice Boltzmann methods,"GPU,LBM,HPC","lbm,gpus,available,general",Higher Education / Research
NVIDIA GTC 2020,Jlich Supercomputing Centre,Uniform Tasking on GPUs and CPUs: Task Queues Reloaded [P21938],132,"General-purpose computing on graphics processing units,Scheduling (computing)","GPU,C++","optimization,gpus,performance,thread,difference,provide,cuda,finegrained",Higher Education / Research
NVIDIA GTC 2020,NVIDIA,Virtual GPU Computing for HPC: Improving System Utilization Through GPU Virtualization [S21827],55,"Cloud gaming,Supercomputer","Clemson University's,NVIDIA,GPU,Metamoto,the Open Connected Autonomous Vehicle,HPC","applying,maximize,investment",Higher Education / Research
