Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Shanghai Jiao Tong University,Fully Automated Blood Analyzer Driving Early Detection for Leukemia Based on Cytomorphology [P22070],151,"Blood cell,Leukemia,Random early detection","CellVision,NVIDIA,GPU","cytomorphology,based,segmentation,classification,workflow,chance,variety,response",Healthcare & Life Sciences
NVIDIA GTC 2020,PerkinElmer,Generating Microscopic Phase Images with Deep Learning [P22394],61,"Machine learning,Microorganism,Phase-contrast microscopy",PerkinElmer,poster,Healthcare & Life Sciences
NVIDIA GTC 2020,Iowa State University,GPU-Accelerated Animated Volume Rendering of Isogeometric Analysis Results [P22069],109,"Engineering design process,Isogeometric analysis,Supply-chain-management software","IGA,CAD,FEA,NURBS,GPU","visualizing,interactive,nurbs,volumetric",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Genome Assembly: A Deep Dive into Clara Genomics Analysis SDK [S21968],63,"Dig Deep (album),Microsoft and open source","de novo genome assembly,the Clara Genomics Analysis SDK,CUDA,cudaPoa",,Healthcare & Life Sciences
NVIDIA GTC 2020,University of California San Francisco,High Throughput Cryo-Electron Microscopy and Cryo-Electron Tomography Powered by GPU at the University of California San Francisco [S21696],91,Scanning transmission electron microscopy,"GPU,the University of California, San Francisco,UCSF,cryoET,cryoEM,CUDA","cryoem,cryoet,cryoelectron,early,university",Healthcare & Life Sciences
NVIDIA GTC 2020,Smart Reporting GmbH,Holistic AI-Enhanced Workflows in Radiology [S21440],119,"AI accelerator,Patient-reported outcome,Treatment decision support","algorithm,Smart Reporting,GPU","reporting,communication,advantage,radiology,opportunity,challenge",Healthcare & Life Sciences
NVIDIA GTC 2020,Onward Health,Improving Classification of Lymph Node Histopathology Patches Using Semi-Supervised Classification-GAN (SSC-GAN) [P21984],39,"Accuracy and precision,Chinese classifier,Classification of demons,Data augmentation,Histopathology,Synthetic media",,,Healthcare & Life Sciences
NVIDIA GTC 2020,Voxeleron,Improving CNN Performance with Spatial Context [S21388],101,"Computer vision,Convolutional neural network,Deep learning",CNN,"optimization,classification,training",Healthcare & Life Sciences
NVIDIA GTC 2020,Google Brain,Insight-Driven Machine Learning Design with Human Expert Collaborations [S21636],151,"Deep learning,Machine learning",,"resulting,enabled,potential",Healthcare & Life Sciences
NVIDIA GTC 2020,Fred Hutchinson Cancer Research Center,Machine Learning Cell Phenotypes with Immuno-Fluorescent Cancer Tissue [P22105],116,"Colectomy,Immunohistochemistry,Protein expression,Spatial analysis","RNA,GPU","edge,image,cell",Healthcare & Life Sciences
NVIDIA GTC 2020,Stanford University,Making Radiology AI Models More Robust: Federated Learning and Other Approaches [S22037],62,"Artificial intelligence,Clinic,Clinical case definition,Critical theory,Cryptographic key types,Medical imaging,Progress in artificial intelligence",,"describe,learning,application",Healthcare & Life Sciences
NVIDIA GTC 2020,Milwaukee School of Engineering,Manipulating the StyleGAN Latent-Space: H&E Image Synthesis for Prostate Cancer Research [P22077],138,"Feature (computer vision),Generative adversarial network,List of Nvidia graphics processing units,Prostate",H&E,"generator,cancer,accelerating,effectiveness",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Medical Volume Raytracing in Virtual Reality [S22030],145,"Medical imaging,Old and New Light","VR,GPU","rendering,foveatedwarped,based,allows",Healthcare & Life Sciences
NVIDIA GTC 2020,Xsens Technologies,Multi-Task Learning for Sparse Sensor Body Tracking [P22340],96,"Disability and Rehabilitation: Assistive Technology,Inertial measurement unit,Motion capture,Sensor",,"assistance,fullbody",Healthcare & Life Sciences
NVIDIA GTC 2020,PNY Technologies,NVIDIA Quadro RTX for Healthcare - Improving Patient Outcomes [S22422],34,"Basic research,Branches of science,GeForce 30 series,List of life sciences,Ray-tracing hardware",Quadro RTX,,Healthcare & Life Sciences
NVIDIA GTC 2020,Thomas Jefferson High School for Science and Technology,PDGAN: An End-to-End Parkinson's Disease Data Analysis and Diagnosis System Using Deep Learning [P21110],130,Parkinson's disease,"PDGAN,GAN","using,solve,mri,technique,training,detecting",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Practical Guidelines for Optimizing and Accurate Sizing of Medical Imaging Workflows [S21997],132,Medical imaging,GPUs,"training,hardware,scaling,critical",Healthcare & Life Sciences
NVIDIA GTC 2020,Islamabad Pakistan,Reconstruction of Under-Sampled Cartesian Data Using Deep Learning [P21927],128,"Magnetic resonance imaging,Tomographic reconstruction","MRI,MR,algorithm","reduce,aliasing,used,undersampled",Healthcare & Life Sciences
NVIDIA GTC 2020,NVIDIA,Rethinking Impact Factor: an NLP-Driven Metric and Pipeline Using Generalized Autoregressive Pretraining on Medical Journals for Granular Knowledge [S21552],137,"BERT (language model),Neurology,Stanford prison experiment,Verona van de Leur","NLP,GPU,Clara Train,AUC","architecture,nlp,study,practice,paradigm",Healthcare & Life Sciences
NVIDIA GTC 2020,imera.ai,Segmentation-Guided Pelvis Fracture Detection in Pelvis X-rays [P21979],74,"Anatomical terminology,Pelvic fracture",GPU,observed,Healthcare & Life Sciences
NVIDIA GTC 2020,Ciklum,Segmentation of Organs at Risk in Chest Cavity Using 3D Deep Neural Network [P21943],133,"Neural network,PhysX","U-Net,the NVIDIA TITAN X Pascal,NVIDIA Tesla,Apex Optimization","segmentation,solve,image,using,organsatrisk,lung",Healthcare & Life Sciences
NVIDIA GTC 2020,Carnegie Mellon University,*Top 5 Poster Nominee - MolecularRNN: Generating Realistic Molecular Graphs with Optimized Properties [P22377],142,"Autodesk 3ds Max,Drug discovery,Media Molecule,Molecule,Organic chemistry",,,Healthcare & Life Sciences
