Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,NVIDIA,Combined Python/CUDA JIT for Flexible Acceleration in RAPIDS [S21393],126,"Compiler,Python (programming language)","RAPIDS/cuDF,Python,CUDA,Jitify,cuDF,the Python UDF,C++,RAPIDS","flexibility,compiled,kernel,implementation",Software / Cloud Services
NVIDIA GTC 2020,Preferred Networks,CuPy Overview: NumPy Syntax Computation with Advanced CUDA Features [S22471],49,,"CuPy,Python","advantage,cutensor,cudnn",Software / Cloud Services
NVIDIA GTC 2020,Uber Technologies,Distributed Deep Learning with Horovod on Spark [s21300],121,"Apache SINGA,Distributed Training Operations Center,TensorFlow","TensorFlow,MXNet,Horovod,GPU,Python,PyTorch","horovod,designed,gpu,used,gpus,multiple",Software / Cloud Services
NVIDIA GTC 2020,Intuit,Document Understanding Platform: Extracting Structured Information from Financial Documents [S21459],111,"Financial Services Authority,Financial services,Memorandum of understanding,Small business","Intuit,Document Understanding Platform","selfemployed,tedious,timeconsuming",Software / Cloud Services
NVIDIA GTC 2020,Artificial Intelligence Research Institute (AIRI),Efficient 3D Convolutional Network Design for Human Instance-Level Video Action Recognition [P22275],92,"Activity recognition,Edge computing",Jetson AGX Xavier,"xavier,module,accuracy,discus",Software / Cloud Services
NVIDIA GTC 2020,Johns Hopkins University,Espresso: A Fast End-to-End Neural Speech Recognition Toolkit [s21239],94,Speech recognition,"Espresso,ASR,WSJ,LibriSpeech,ESPnet","asr,decoding,toolkit",Software / Cloud Services
NVIDIA GTC 2020,RIST,Evaluation of a Multi-GPU Optimized Non-Hydrostatic Ocean Model with Multigrid Preconditioned Conjugate Gradient Method [P21930],127,"Conjugate gradient method,Supercomputer","GPUs,MGCG,kinaco","gpus,multigrid,application,many,evaluated,discussed,numerical",Software / Cloud Services
NVIDIA GTC 2020,RCPE GmbH,EXtended Particle System (XPS): High-Performance Particle Simulation [P21775],66,"Discrete element method,Finite element method,List of DC Multiverse worlds",GPU,,Software / Cloud Services
NVIDIA GTC 2020,AdaCore,Exterminating Buffer Overflows and Other Embarrassing Vulnerabilities with SPARK Ada on Tegra [S21122],121,SPARK (programming language),"NVIDIA,Tegra,ARM,GPU,Ada/OpenACC,Ada","application,language,technology,gpu",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Fast Distributed Joins with RAPIDS and UCX [s21482],136,,"RAPIDS cuDF,UCX,GPU,RAPIDS,NVLINK,Infiniband,DGX-2,GB/s throughput,IB,GB/s","implementation,communication,multiple,gpus,distributed,alltoall,demonstrate,achieve,rapid",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,From High to Low Level: A Comparative Study of Programming Approaches for NVIDIA GPUs [S21308],146,,"GPU,Python,CUDA C,Numba,CuPy","programming,implementation,gpus,optimized,simulate,discus,development,highlevel,python",Software / Cloud Services
NVIDIA GTC 2020,Google,GPipe: Efficient Training of Giant Neural Networks Using Pipeline Parallelism [S21873],129,"Convolutional neural network,Deep learning,Software quality",GPipe,"scaling,different,accelerator,gpipe,parallelism,pipelining",Software / Cloud Services
NVIDIA GTC 2020,RidgeRun,How to Build a Multi-Camera Media Server for AI Processing on Jetson [S22396],103,AI accelerator,"Jetson Board,Interpipes,DeepStream,AI","specific,demonstrate,deepstream",Software / Cloud Services
NVIDIA GTC 2020,Chubu University,Knowledge Transfer Graph for Deep Collaborative Learning [P22383],115,"Deep learning,Graph (abstract data type)",,"propose,flexible,achieve",Software / Cloud Services
NVIDIA GTC 2020,Berkeley,Learning Human Objectives by Evaluating Hypothetical Behavior [P22312],20,"Q-learning,Reinforcement,Unsafe at Any Speed",,"presence,algorithm",Software / Cloud Services
NVIDIA GTC 2020,Carnegie Mellon University,Modularizing Natural Language Processing [S21560],109,"Artificial intelligence,Conceptual model,Natural language,Natural language processing,Pomodoro Technique",NLP,"nlp,development,abstraction",Software / Cloud Services
NVIDIA GTC 2020,Stanford University,Motion Reasoning for Goal-Based Imitation Learning [P22363],116,"Demonstration (political),Shadowgun,Symbolic interactionism",,"demonstrator,motion,enables,execution,reproduce",Software / Cloud Services
NVIDIA GTC 2020,Facebook,Named Tensors Model Quantization and the Latest PyTorch Features [S22145],86,"Integrated development environment,List of Red Digital Cinema cameras,PyTorch,Python (programming language),Standard ML","PyTorch,PyTorch 1.0","training,introduction,production",Software / Cloud Services
NVIDIA GTC 2020,Facebook AI,Opening Up the Black Box: Model Understanding with Captum and PyTorch [S22147],86,"Integrated development environment,List of Red Digital Cinema cameras,PyTorch,Python (programming language),Standard ML","PyTorch,PyTorch 1.0","training,introduction,production",Software / Cloud Services
NVIDIA GTC 2020,SigOpt,Optimized Image Classification on the Cheap [s21598],103,"Computer vision,Fine-tuning,Stanford University,Transfer learning","Stanford,Stanford Cars","optimization,technique,using,building",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Optimizing Work Scheduling and Memory Usage for Complex Database Queries on GPUs [P22017],119,"CUDA,Computer cluster,Contextual Query Language,Online analytical processing","GPU,CUDA Graphs,RAPIDS cuDF","multiple,gpu,memory",Software / Cloud Services
NVIDIA GTC 2020,Preferred Networks,Optuna: An Eager Hyperparameter Optimization Library [s21291],113,"Hyperparameter optimization,TensorFlow",Optuna,gpus,Software / Cloud Services
NVIDIA GTC 2020,Facebook,Scaling Deep Learning for Automatic Speech Recognition [S21838],77,"Distributed Training Operations Center,Speech recognition","wav2letter++,C++,ASR",wav2letter,Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Software-Based Compression for Analytical Workloads [S21597],151,,"GPU-GPU,GPU,LZ,Fannie Mae's","compression,performance,compressed,cpugpu,gpugpu",Software / Cloud Services
NVIDIA GTC 2020,OTOY Inc,The Future of GPU Rendering: Real-Time Raytracing Holographic Displays and Light Field Media [S22153],53,"Graphics processing unit,Holography,Impact (gamer),Machinima, Inc.,Medium (TV series)","GPU,VFX,OTOY,OctaneRender","future,2020s",Software / Cloud Services
NVIDIA GTC 2020,Mila - Universit de Motral,The SpeechBrain Project [s21648],142,Speech technology,"SpeechBrain,PyTorch","single,development,pytorch,create",Software / Cloud Services
NVIDIA GTC 2020,Czech Technical University in Prague,TNL: Template Numerical Library for Modern Parallel Architectures [P21800],62,"Array data structure,Developing country,Employee benefits,Library,Supercomputer",TNL,"especially,gpus",Software / Cloud Services
NVIDIA GTC 2020,Numeca,Toward Industrial LES/DNS in Aeronautics: Leveraging OpenACC for Massively Parallel CPU+GPU Simulations [s21958],119,,"LES,DNS,TILDA,CPU+GPU,CFD","tilda,upwards,nearlinear",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Toward INT8 Inference: Deploying Quantization-Aware Trained Networks using TensorRT [s21664],137,Evaluation measures (information retrieval),"FP16,FP32","inference,tensorrt,dnn,fp32,qat,accuracy,deep",Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,Training and Deploying Conversational AI Applications with NeMo and Jarvis [S21211],54,"Chatbot,Natural language processing,Neural network,Speech recognition,Speech synthesis,You didn't build that",NeMo,,Software / Cloud Services
NVIDIA GTC 2020,NVIDIA,XLNet Optimization Using CUDA [S21478],124,Transformer (machine learning model),"XLNet,XLNET,CUDA,Tensorflow,FastTransformer","language,performance,optimization,cuda,optimized",Software / Cloud Services
