Conference,Inc,Title,Length,Keywords,Entity,Singleton
NVIDIA GTC 2020,NVIDIA,Training and Deploying Conversational AI Applications with NeMo and Jarvis [S21211],54,"Chatbot,Natural language processing,Neural network,Speech recognition,Speech synthesis,You didn't build that",NeMo,"especially,gpus"
NVIDIA GTC 2020,NVIDIA,XLNet Optimization Using CUDA [S21478],124,Transformer (machine learning model),"XLNet,XLNET,CUDA,Tensorflow,FastTransformer","tilda,upwards,nearlinear"
NVIDIA GTC 2020,NVIDIA,Accelerating Quantum Chemistry Simulations with AI [S21273],71,"Computational chemistry,Machine learning",,"imaging,indicator,generate,xray,nearly"
NVIDIA GTC 2020,NVIDIA,A New Era of Medical Imaging [S22554],77,"A-ha,Color image pipeline,Deep learning,Digital image processing,Medical imaging",Deep Learning,"angle,cell,analyze,biological"
NVIDIA GTC 2020,NVIDIA,Building a Medical Imaging AI Ecosystem Using Clara SDKs [s22295],95,Comparison of web frameworks,"Clara Imaging Application Framework,Iterative &,Clara Application Platform,Clara Imaging","improve,mining,clinical,ultimately"
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Clara Train SDK Performance Walkthrough and Deep Dive [S22717],42,"Data science,List of NFC-enabled mobile devices,Underwater diving",Clara Train v3.0,"ecosystem,annotation,training,deployment"
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Federated Learning using Clara Train SDK [S22564],133,"Artificial intelligence,Endurance training,Federated learning,Rote learning","Federated Learning,Clara Train SDK","application,diagnostics"
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Getting Started with Clara Train for High Performance & Iterative Experimentation with AutoML [S22563],61,"Data science,Graphics Core Next,IOS SDK,Medical imaging",Clara Train SDK,"service,resource,learning,gpus,gpu,deployment,balanced,kubernetes"
NVIDIA GTC 2020,NVIDIA,Clara Developer Day: Scalable and Modular Deployment Powered by Clara Deploy SDK [S22565],131,"Medical imaging,OpenAI,Oracle SQL Developer","DICOM,VNA,Clara Train",dummy
NVIDIA GTC 2020,NVIDIA,Federated Learning for Medical Imaging: Collaborative AI without Sharing Patient Data [S21536],213,"Deep learning,Federated learning,Medical imaging,Medical record",,"subtle,hospital,subtlemr,improve,efficiency,clinical,experience,university,nvidia,san,subtlepet,fdacleared"
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Genome Assembly: A Deep Dive into Clara Genomics Analysis SDK [S21968],63,"Dig Deep (album),Microsoft and open source","de novo genome assembly,the Clara Genomics Analysis SDK,CUDA,cudaPoa","cytomorphology,based,segmentation,classification,workflow,chance,variety,response"
NVIDIA GTC 2020,NVIDIA,Medical Volume Raytracing in Virtual Reality [S22030],145,"Medical imaging,Old and New Light","VR,GPU","edge,image,cell"
NVIDIA GTC 2020,NVIDIA,Practical Guidelines for Optimizing and Accurate Sizing of Medical Imaging Workflows [S21997],132,Medical imaging,GPUs,"assistance,fullbody"
NVIDIA GTC 2020,NVIDIA,Rethinking Impact Factor: an NLP-Driven Metric and Pipeline Using Generalized Autoregressive Pretraining on Medical Journals for Granular Knowledge [S21552],137,"BERT (language model),Neurology,Stanford prison experiment,Verona van de Leur","NLP,GPU,Clara Train,AUC","using,solve,mri,technique,training,detecting"
NVIDIA GTC 2020,NVIDIA,Accelerated Computing Teaching Kit for University Educators: Introduction and Use Cases [S22414],175,IBM Power Systems,"Iowa State University,Iowa State,CAD,GPU","segmentation,solve,image,using,organsatrisk,lung"
NVIDIA GTC 2020,NVIDIA,Accelerated Light-Transport Simulation using Neural Networks [S21852],87,Neural network,,image
NVIDIA GTC 2020,NVIDIA,Bringing AI to the Classroom: NVIDIA's Deep Learning Teaching Kit [S22357],110,Machine learning,"GPU,AGH University of Science and Technology,Krakow,New York University","classification,describe,combine,improve,noise"
NVIDIA GTC 2020,NVIDIA,Building MSO GPU-Powered Infrastructure for AI Instruction and Research [s21423],78,"Differentiated instruction,Supercomputer","Milwaukee School of Engineering,NVIDIA,AI,HPC,GPU","computational,large,cache,pipeline"
NVIDIA GTC 2020,NVIDIA,Few-Shot Adaptive Video-to-Video Synthesis [S21142],121,"Capability-based addressing,Semantic memory",,"material,theory,cnn,transforming"
NVIDIA GTC 2020,NVIDIA,Multiphysics Software Development in the Age of AI [P21687],135,Neural network,,
NVIDIA GTC 2020,NVIDIA,Overcoming Latency Barriers: Strong Scaling HPC Applications with NVSHMEM [s21673],121,"American Association for the Advancement of Science,Multinomial distribution","HPC,GPU,NVSHMEM,QUDA,MILC,Chroma,InfiniBand,Summit","membrane,evolutionary,computing,efficiently"
NVIDIA GTC 2020,NVIDIA,Virtual GPU Computing for HPC: Improving System Utilization Through GPU Virtualization [S21827],55,"Cloud gaming,Supercomputer","Clemson University's,NVIDIA,GPU,Metamoto,the Open Connected Autonomous Vehicle,HPC","photometric,shape,optimizing"
NVIDIA GTC 2020,NVIDIA,Ray-Traced Virtual Reality in Omniverse [S22029],137,"New Payments Platform,Ray tracing (graphics),Warez scene",,demonstrate
NVIDIA GTC 2020,NVIDIA,Real-Time Ray-Traced Ambient Occlusion of Complex Scenes using Spatial Hashing [S22170],123,"Ambient occlusion,Global illumination,Real-time computer graphics",CAD,"solver,cpubased,openacc,useful"
NVIDIA GTC 2020,NVIDIA,Semi-Supervised Three-Dimensional Reconstruction with Generative Adversarial Networks [P21908],142,"3D reconstruction,Scientific method","3D,GAN","beam,heavily,proportional,thicker"
NVIDIA GTC 2020,NVIDIA,Automating DNN Design for DRIVE AGX: Platform-Aware Neural Architecture Search [S21666],130,"Deep learning,Neural network","VGG,NAS,optimal,NVIDIA","ss3dgan,observation,gan"
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Data Pipeline and Machine Learning on DRIVE AGX using RAPIDS [S21665],140,"Data science,Nvidia Drive,PCI configuration space","NVIDIA,RAPIDS",
NVIDIA GTC 2020,NVIDIA,Panoptic Segmentation DNN for Autonomous Vehicles [S21879],141,Image segmentation,NVIDIA,"controller,samplingbased,solve,optimization,increase,car,performance"
NVIDIA GTC 2020,NVIDIA,PredictionNet: Predicting the Future in Multi-Agent Environments for Autonomous Vehicle Applications [S21899],113,"Deeplearning4j,Machine learning,Neural network,Self-driving car",PredictionNet,"operation,inference,accuracy,zoox,pipeline,training,optimized,deployment"
NVIDIA GTC 2020,NVIDIA,PyTorch-TensorRT: Accelerating Inference in PyTorch with TensorRT [S21671],149,"AI accelerator,DLA,Deeplearning4j,Nvidia,Self-organizing network","GPUs,ONNX,DL,Tensorflow,TF-TRT,PyTorch",challenge
NVIDIA GTC 2020,NVIDIA,Sensor Processing with the NVIDIA DriveWorks SDK: Abstraction Algorithms and Acceleration [S21714],138,"Nvidia Drive,Self-driving car","DriveWorks,the DriveWorks Sensor Abstraction Layer,DRIVE","prediction,predicting,dnn,classical"
NVIDIA GTC 2020,NVIDIA,Smart Cities in the Cloud: NVIDIA Metropolis on Red Hat OpenShift [S21994],31,"Metropolis–Hastings algorithm,OpenShift","Red Hat,NVIDIA,Metropolis,EGX,Red Hat OpenShift","tensorrt,tensorflow,ops,pytorch,runtime,gpus"
NVIDIA GTC 2020,NVIDIA,Temporal Information Prediction for Perception in Autonomous Vehicles [P22335],128,"Cell therapy,Dick Van Dyke filmography,Self-driving car,Sergei Lemberg,Temporal information retrieval",,"computing,service,solution,massive"
NVIDIA GTC 2020,NVIDIA,Toward Large-Scale Steady-State Computational Fluid Dynamics Acceleration with Point Cloud Networks [P22049],130,"CFD in buildings,Computational fluid dynamics,Highly accelerated life test,List of AMD accelerated processing units","CFD,131k,GPU","collaboration,integration,egx,demo"
