Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,Virginia Tech,WASP: A WeArable SuPercomputing Platform for Lost Person Search-and-Rescue [P22071],145,Supercomputer,"WASP,WeArable SuPercomputing Platform,the United States,SAR","computation,wasp,uavs,application,enhanced,backpack,searcher",Aerospace / National labs
NVIDIA GTC 2020,Davis,Accelerating DNN Inference with GraphBLAS and the GPU [S21796],68,"Deep learning,Graph coloring,GraphBLAS","GPU,SuiteSparse","graphblast,gpu,suitesparse",Aerospace / National labs
NVIDIA GTC 2020,Pacific Northwest National Laboratory,Accelerating Graph Algorithms on Exascale Systems [S21642],77,"A* search algorithm,Bar chart,Leadership in Energy and Environmental Design,Magic SysRq key,Signal-flow graph",US Department of Energy,"largescale,computational,latest",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Accelerating Large-Scale GW Calculations in Material Science [s21353],117,"Balancing Act,Graphics processing unit","HPC,cuBLAS,cuFFT,GPU,Volta,FLOPs/Watt","accelerate,technique,memory,scaling,thousand,porting",Aerospace / National labs
NVIDIA GTC 2020,Oak Ridge National Laboratory,Accelerating the Singular Value Decomposition: Measuring SVD Performance for Small Matrices [P21776],79,"Sensor,Sensor array,Signal processing,Singular value decomposition","SVD,GPU,cuSolver,MKL,MAGMA","svd,performance",Aerospace / National labs
NVIDIA GTC 2020,Georgia Tech,A Framework for Measuring Hardware Gather-Scatter Support [P21887],115,"Memory,Operating system,Shared memory","HPC,G/S,CUDA","used,sparse,scatter",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,A Partitioned Global Address Space Library for Large GPU Clusters [S22093],143,Scalability,"NVSHMEM,PGAS,PCI-E,NVLink,Infiniband,CUDA,CPU,QUDA,GPU-Enabled QCD,Chroma,MILC,Breadth First Search","communication,quda,initiate,application,openshmem",Aerospace / National labs
NVIDIA GTC 2020,University of Texas at Austin,A Performance-Portable Diffusion Solver Based on Axom [P21892],120,"Architecture,Code refactoring","Mint,CPU+GPU,CUDA,API","backend,api,solver,complexity",Aerospace / National labs
NVIDIA GTC 2020,Japan Agency for Marine-Earth Science and Technology,Applications of Convolutional Neural Network to the Important Earth Science Problems [P22283],130,"Convolutional neural network,Hypocenter,Neural network,Solar irradiance",,"tremor,determination,image,seismogram,learning,observation,used,applied",Aerospace / National labs
NVIDIA GTC 2020,Helmholtz-Zentrum Dresden-Rossendorf,Big Lasers for Small Accelerators: Exascale Simulations for Better Cancer Therapy [S21850],134,"Jitsi,Open source,TOP500","PIConGPU,Titan","application,analysis,beam,laser",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,CUDA C++ in Jupyter: Adding CUDA Runtime Support to Cling [S21588],85,"GrabCAD,IBM Power Systems,Project Jupyter,Scientist","Jupyter Notebooks,CUDA C++,REPL,Notebooks,CERN,C++,Cling","cuda,implementation,interactively,developer,omnipresent",Aerospace / National labs
NVIDIA GTC 2020,University of Illinois,Day of the Living Cell: Supercomputers Reveal Molecular Design Principles of Photosynthesis [S21500],95,"Charm++,Molecular dynamics","NAMD,Klaus Schulten,GPU,Oak Ridge National Laboratory",decade,Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Deep Learning for Efficient Modeling of High-Dimensional Spatiotemporal Physics [S22094],125,"Outline of physical science,Simple Lie group",,"scientific,learning,spatiotemporal,datasets,rom",Aerospace / National labs
NVIDIA GTC 2020,Korea Institute of Science and Technology Information,Dramatic Acceleration of Quantum Transport Simulations: Solving Non-Equilibrium Green's Function with GPU Devices [P21787],85,,"GPU,the Non-Equilibrium Green's Function,NEGF","strategy,negf,solving,nonequilibrium",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,Effective Use of Mixed Precision for HPC [S21725],54,Numeric keypad,HPC,"practical,adopting",Aerospace / National labs
NVIDIA GTC 2020,NERSC,Enabling 800 Projects for GPU-Accelerated Science on Perlmutter at NERSC [S21582],268,New Classical architecture,"The National Energy Research Scientific Computing Center,HPC,the U.S. Department of Energy Office of Science,NERSC,Perlmutter,Cray,AMD,The NERSC Exascale Science Application Program,GPU,genomics de novo assembly,AMReX","nersc,science,perlmutter,gpus,strategy,energy,preparing,application,enable,outcome,gpu",Aerospace / National labs
NVIDIA GTC 2020,Japan Atomic Energy Agency,Enhancing Intra-Node Multi-GPU Stencil Calculations on DGX-2 Using Concurrent-Addressing with Unified Memory [P21784],127,"Atomic bombings of Hiroshima and Nagasaki,Memory management","the Japan Atomic Energy Agency,AMR,Unified Memory,CUDA,GPU,NVLink,Boltzmann","citylbm,amr,prediction,simulation,multigpu,implementation,gpu,nvlink,equation,mesh",Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,Exploiting Novel GPU Parallelism in the SNAP Interatomic Potential [S21976],123,"Material,Molecular mass","SNAP,IAP,GPU,Kokkos","snap,iap,geometric,quantum,structure,calculation,memory",Aerospace / National labs
NVIDIA GTC 2020,Sandia National Laboratories,Explosive DGX Performance for Weapon Component Modeling [P21870],40,"Binary explosive,Sandia National Laboratories",Sandia National Laboratories,porting,Aerospace / National labs
NVIDIA GTC 2020,The National Energy Technology Laboratory,Extensions of TensorFlow-Based Computational Fluid Dynamics [S21816],92,National Energy Technology Laboratory,"The National Energy Technology Laboratory,NETL,TensorFlow,Multiphase Flow with Interphase eXchanges,MFIX,NVIDIA,Multiphase Particle-In-Cell,AI/ML acceleration","multiphase,solver",Aerospace / National labs
NVIDIA GTC 2020,California Institute of Technology,Fromage Optimizer for Deep Neural Networks [P22300],45,"Fromage,Geometric median,Path loss","Fromage,Frobenius,Transformer,GAN",propose,Aerospace / National labs
NVIDIA GTC 2020,NVIDIA,GPU-Accelerated Deep Learning for Weather Climate and Space [s21255],101,"Deep learning,Earth observation satellite,General circulation model,Weather forecasting","the National Oceanic and Atmospheric Administration,NASA","accurate,processing",Aerospace / National labs
NVIDIA GTC 2020,Davis,GraphDefense: Toward Robust Large-Scale Graph Convolutional Network [P21806],135,"Energy based model,Generative adversarial network,Graph Fourier Transform,Semi-supervised learning","GraphDefense,Graph Convolutional Networks","gcns,robustness,large,proposed",Aerospace / National labs
NVIDIA GTC 2020,NIST,Hedgehog: A Performance-Oriented General Purpose Library that Exploits Multi-GPU Systems [s21227],98,"Advantage gambling,Load balancing (computing),Parallel computing,Turing completeness",Hedgehog,"manager,memory,dataflow",Aerospace / National labs
NVIDIA GTC 2020,Brazilian Synchrotron Light Laboratory / CNPEM,High-Throughput 3D Image Reconstruction Visualization and Segmentation of Large-Scale Data at the Sirius Synchrotron Light Source [s21278],135,3D reconstruction,"Sirius,CUDA","sirius,synchrotron,segmentation,developed",Aerospace / National labs
NVIDIA GTC 2020,NIKHEF and University of Maastricht,High-Throughput Real-time Data Processing with GPUs at CERN [s21341],129,"Consideration,Program optimization,Safety of high-energy particle collision experiments","GPU,Switzerland,Allen","selection,software,reconstruction,allen,throughput",Aerospace / National labs
NVIDIA GTC 2020,University of Tennessee,HPL-AI: Benchmarking Half-Precision Hardware with Modern Numerical Linear Algebra [S21470],102,"AI accelerator,Direct method (education),Hardware register","HPL,GTC","implementation,instrumental",Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Improving Geophysical Turbulence Models with Machine Learning [S21574],150,,GPU,"turbulence,simulation,prediction,mixing",Aerospace / National labs
NVIDIA GTC 2020,Barcelona Supercomputing Center,Improving Ocean Model Framework NEMO with GPU Port and Asynchronous Execution [P21955],74,"Earth System Modeling Framework,Porting,Tofa?,Wind wave model","NEMO,CUDA,GPU,Fortran/MPI",improvement,Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Integrating NVIDIA Tesla V100 GPUs into a Cray System for a Diverse Simulation Machine Learning and Data Workload [S21569],151,"National Energy Research Scientific Computing Center,Production system,Windows HPC Server 2008","HPC,GPU,the U.S. Department of Energyâs National Energy Research Scientific Computing Center,Perlmutter,NERSC,the Knights Landing,Cray,the NERSC Exascale Science Application Program,NESAP,Cori","application,nersc,nesap,cori,energy,integrated,workload",Aerospace / National labs
NVIDIA GTC 2020,National Center for Atmospheric Research,Interpretable Deep Learning for Hurricane Intensity Prediction [S21548],99,"Rapid intensification,Saffir�Simpson scale,Tropical cyclone",the Hurricane Weather Research,"intensity,couple",Aerospace / National labs
NVIDIA GTC 2020,Naval Research Lab,Learning the Hard Parts: Scaling Reacting Flow Simulations with Machine Learning [S21740],133,"Chemical substance,Computational fluid dynamics,Kevin Systrom,Technique",CFD,"explore,machine",Aerospace / National labs
NVIDIA GTC 2020,Aselsan Research Center,Matrix-Free Real-time Online Reconstruction of Compressive Focal Plane Array Camera [P21865],138,"Matrix multiplication,Real-time,Scientific method",,"reconstruction,online,compressive,highresolution,using,involve,image,camera",Aerospace / National labs
NVIDIA GTC 2020,Predictive Science Inc.,Optimizing Stencil Operations in OpenACC [P21723],145,"Directive (programming),Inventory optimization,Shadow volume,Supercomputer","HPC,CUDA,Nsight Systems","openacc,gpus,using,cuda,many,performance",Aerospace / National labs
NVIDIA GTC 2020,RIKEN Center for Computational Science,Performance Comparison of Search for Neighbor-Particle in MPS on Xeon Xeon Phi and GPU [P21969],87,MP,"MPS,Xeon,GPU","neighborparticles,xeon,simulating",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Roofline Performance Model for HPC and Deep-Learning Applications [s21565],98,,"Roofline,GPU,Nsight Systems/Compute,HPC,TensorFlow","performance,analyze,nvprof,automate",Aerospace / National labs
NVIDIA GTC 2020,NIST,Scalable Workflow System for Whole Slide Microscopy Analyses Using Neural Networks [P21983],98,"Artificial intelligence,Computer vision,List of programming languages for artificial intelligence,Object detection",,tensorrt,Aerospace / National labs
NVIDIA GTC 2020,DST/CSIRO,Scaling Data by 109x and Compute for Deep-Learning Applications [S21390],63,"Artificial intelligence,Big data,Scalability,Utah Data Center",HPC,"highresolution,optimized",Aerospace / National labs
NVIDIA GTC 2020,Jlich Supercomputing Centre,The Rocky Road to Tasking: Task Queues Reloaded [S21189],109,"Automatic parallelization,Bigg Boss (Hindi season 14),Scheduling (computing)","C++,GPU","optimization,implementation,thread,parallelize,gpus,cuda",Aerospace / National labs
NVIDIA GTC 2020,Jlich Supercomputing Centre,Tiny Tiny Tasks: Fine-Grained FMM Tasking on GPUs [P22059],127,"Availability heuristic,Task parallelism,Task-based language learning","HPC,GPU,CPU","gpu,exploited,gpus",Aerospace / National labs
NVIDIA GTC 2020,National Center for Atmospheric Research,Toward an Exascale Earth System Model with Machine Learning Components: An Update [S21834],124,"Embryo Ranking Intelligent Classification Algorithm,Graphics processing unit,Yann LeCun","GPU,the U.S. National Center for Atmospheric Research,the Model for Prediction Across Scales-Atmosphere,MPAS-A,the MOM-6 Ocean Model,NCAR","atmospheric,direction,parameterizations,discus,begun,many,speculated",Aerospace / National labs
NVIDIA GTC 2020,Los Alamos National Laboratory,Turbulence Forecasting via Neural ODEs [P22054],143,"Coupling constant,Reduced form,Turbulence","Fluid,the Navier-Stokes","interaction,modeling,improve,characterized",Aerospace / National labs
NVIDIA GTC 2020,Lawrence Berkeley National Laboratory,Workload Management for Complex Workflows on a GPU-Enabled Heterogeneous System [s21608],141,"Heterogeneous System Architecture,National Energy Research Scientific Computing Center,National Renewable Energy Laboratory,Real-time computing,Scientific method","The National Energy Research Scientific Computing Center,the U.S. Department of Energy,HPC","scheduling,scheduler,workflow,workload",Aerospace / National labs
