Conference,Inc,Title,Length,Keywords,Entity,Singleton,industry
NVIDIA GTC 2020,NVIDIA,Panoptic Segmentation DNN for Autonomous Vehicles [S21879],141,Image segmentation,NVIDIA,"dnn,instance,semantic,vehicle,agx",Engineering / Transportation
NVIDIA GTC 2020,3D Mapping Solutions GmbH,Precise Ultra HD Map Data as Basis for NVIDIA DRIVE Sim Virtual Testing and Simulation [S22273],106,"Digital twin,Grid reference,Network virtualization",Digital,"basis,simulation",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,PredictionNet: Predicting the Future in Multi-Agent Environments for Autonomous Vehicle Applications [S21899],113,"Deeplearning4j,Machine learning,Neural network,Self-driving car",PredictionNet,"prediction,predicting,dnn,classical",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,PyTorch-TensorRT: Accelerating Inference in PyTorch with TensorRT [S21671],149,"AI accelerator,DLA,Deeplearning4j,Nvidia,Self-organizing network","GPUs,ONNX,DL,Tensorflow,TF-TRT,PyTorch","tensorrt,tensorflow,ops,pytorch,runtime,gpus",Engineering / Transportation
NVIDIA GTC 2020,Dassault Systemes,RTX-accelerated Stellar GPU Gi Behind the Scenes of the SIGGRAPH 2019 Demo of the 3DS Global Illumination Renderer [s21315],95,"AMOLED,Global illumination,Rendering (computer graphics)","Stellar GPU GI,GPU,Dassault SystÃ¨mes","feature,developed,gpu,2019,rendering,rtx",Engineering / Transportation
NVIDIA GTC 2020,DDN,Scalable Storage Environments Optimized for Autonomous Driving (Presented by DDN) [S22671],129,"Data management,Self-driving car","AI,HPC","computing,service,solution,massive",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Sensor Processing with the NVIDIA DriveWorks SDK: Abstraction Algorithms and Acceleration [S21714],138,"Nvidia Drive,Self-driving car","DriveWorks,the DriveWorks Sensor Abstraction Layer,DRIVE","driveworks,module,developer,providing,nvidia,sensor",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Smart Cities in the Cloud: NVIDIA Metropolis on Red Hat OpenShift [S21994],31,"Metropolis�Hastings algorithm,OpenShift","Red Hat,NVIDIA,Metropolis,EGX,Red Hat OpenShift","collaboration,integration,egx,demo",Engineering / Transportation
NVIDIA GTC 2020,Amherst,Super SloMo: High-Quality Estimation of Multiple Intermediate Frames for Video Interpolation [P22420],13,"Computational linguistics,Plain",,present,Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Temporal Information Prediction for Perception in Autonomous Vehicles [P22335],128,"Cell therapy,Dick Van Dyke filmography,Self-driving car,Sergei Lemberg,Temporal information retrieval",,"prediction,automatic,obstacle,academia,industry",Engineering / Transportation
NVIDIA GTC 2020,Amazon,Terrain Traversability Estimation using Normal Distribution Transform on GPU in Amazon Scout [S21179],127,"Gaussian surface,Induction hardening,Nondestructive testing","Amazon,3D NDT,NVIDIA,NDT,Amazon Scout","scout,autonomous,navigate,safely,amazon,robot",Engineering / Transportation
NVIDIA GTC 2020,NVIDIA,Toward Large-Scale Steady-State Computational Fluid Dynamics Acceleration with Point Cloud Networks [P22049],130,"CFD in buildings,Computational fluid dynamics,Highly accelerated life test,List of AMD accelerated processing units","CFD,131k,GPU","solution,evaluate,solver",Engineering / Transportation
NVIDIA GTC 2020,ANSYS,Ultra-Fast Radar Simulation for Radar System Design and Automotive Applications [s21966],140,"Hardware-in-the-loop simulation,Imaging radar","ADAS/AV,GPU,SBR,CUDA,Doppler","application,automotive,solver",Engineering / Transportation
NVIDIA GTC 2020,Nanyang Technological University,Virtual Validation of Automated Vehicle Safety: Challenges Lessons Learned and Opportunities [S21658],140,"Emulation for Logic Validation,Self-driving car,Vehicular automation","VV,VTP,Constellation,CETRAN (Nanyang Technological University,Singapore","simulation,vtp,perception,weakness",Engineering / Transportation
