title,description,company
From Spark to Elasticsearch and Back - Learning Large Scale Models for Content Recommendation,"Serving tens of billions of personalized recommendations a day under a latency of 30 milliseconds is a challenge. In this talk I’ll share our algorithmic architecture, including its Spark-based offline layer, and its Elasticsearch-based serving layer, that enable running complex models under difficult scale constrains and shorten the cycle between research and production.","Outbrain, Israel"
Everything you Wanted to Know about Apache Kafka but you Were too Afraid to Ask! ,"Streaming platforms have emerged as a popular, new trend, but what exactly is a streaming platform? Part messaging system, part Hadoop made fast, part fast ETL and scalable data integration, with Apache Kafka at the core, streaming platforms offer an entirely new perspective on managing the flow of data. This talk will explain what a streaming platform such as Apache Kafka is and some of the use cases and design patterns around its use. ","Confluent, USA"
Are You Sure about That?! Uncertainty Quantification in AI,"Thanks to the amount of data that has been collected in recent decades in the world of football, we try to answer the right questions that have always existed around it, and from dimensions like never have been answered, such as for example How will a player perform next season in my team, What should I do to avoid conceding a goal? or What should I do so that players are not injured?","inovex GmbH, Germany"
Real Time Decision Making in Professionals Sports. From Description to Prediction and Prescription.,"In my talk, I will give an introduction to different kinds of uncertainty, i.e. epistemic and aleatoric.","Olocip, Spain"
Big Data Information Architecture for AI,"IBM is famous for Watson, the artificial intelligence system which won the Jeopardy! general knowledge quiz show in 2011. Since then IBM have been feeding it big data and it is being used across industry to help humans work smarter. Here’s a presentation on some of the more interesting case studies from around the world such as Watson Willow at Woodside; the L’Oreal factory and Iplexia demo to show a factory line manager talking to Watson…","IBM, UK"
Data Discovery with Amundsen,"Company data is increasingly widespread and it has always been difficult to understand who is using which tables or columns, how often and how the dataset was produced. There are commercial tools available that assist for some of these questions, but now there’s also an open-source tool called “Amundsen”, which is already in use by several larger companies. Amundsen helps you answer questions like how a dataset was produced, who else uses it, who’s the owner of a dataset and people using the tool can update the table or column descriptions.","Coolblue B.V., The Netherlands"
The Creative Side of AI: Product Name Generation,Product naming is not an easy task. It requires creativity and a goal-driven process. Can AI help? We propose here a solution to get a very large number in very short time of name candidates to inspire your marketing team from a many-to-many LSTM network.,"KNIME, Germany"
Computational Propaganda - How Algorithms Influence our Decisions,"“Manipulations in the era of algorithms”. Facebook having 2.2 Monthly Active Users, together with Google and Twitter create three interconnected digital republics where majority of human interactions take place and where increasing amounts of people spend great amount of time daily. Such constellation created fantastic environment for development and usage of targeted ad industry. The same algorithms however have recently gained momentum in being used by bad actors in creation of the so called computational propaganda…","Codewise, Poland"
Deep Learning at Scale: Distributed Training and Hyperparameter Search for Image Recognition Problems,"Training complex image recognition model on a large dataset using one machine can be long and cumbersome. This talk focuses on methods and libraries, which allow us to train models on a dataset that does not fit into memory, or maybe even on the disk using multiple GPUs or even nodes. The ways of using multiple GPUs and nodes will be discussed and tradeoffs between different approaches will be compared. ","Databricks, Germany"
Digital Business: Tomorrow is Already Here,"Digital business is about intelligently connecting people, things, and businesses. It’s an infinite world of new possibilities for companies to reimagine their business models, the way they work, and how they compete. New technologies like machine learning, the Internet of everything, blockchain, cloud, and the big data platform will transform value chains to enable completely new ways of doing business and our way of life. Hear how you can deliver a innovative customer experience at scale, with a fully-integrated front- and back-end operations based a solid digital core.","SAP, Germany"
Turning a Wasting into a Learning Culture - Combining NLP and Neural Networks to truly Understand and Predict Customers' Behaviour,"Most of the customer feedback of companies around the globe is being wasted, as it is not used to learn, derive insights or to optimize products and processes. At the same time, the amount of customer survey and observation data within companies is growing at heavy speed. The presentation will introduce levers on how to cope with this phenomenon and illustrate, which role Data Science and Machine Learning should Play from an analytical and business perspective.","LINK Institute, Switzerland"
Data Science at PMI - The Tools of The Trade,"Data Science is not a one man show. It is a team effort that requires every team member to master the tools of the trade. This is extremely important for effectively putting data science to work in a global organization. In this talk Michal would like to share with you the best practices to start, develop and ship data science products developed inside PMI – the best practices and tools, currently in use by 40+ data scientists across four different location, where data science labs of PMI were established in 2017.","Philip Morris International, Poland"
Optimize your Data Pipeline without Rewriting it,"It is not fast enough! That is one of the more common responses to a data engineer when putting a data pipeline in production. It is easy to dig down into the code and try to optimize it. My experience as a data engineer shows me that it is often easier and more efficient, both in time spent and outcome, to focus on a more holistic view of the pipeline.","Tink, Sweden"
Making Data Scientists Productive in Azure,"Doing data science today is far more difficult that it will be in the next 5-10 years. Sharing, collaborating on data science workflows in painful, pushing models into production is challenging.","Cognizant, Lithuania"
Real-Time Data Streaming with Azure Stream Analytics,"It’s imperative in today’s world to be able to make split second decisions based on real-time data. Reports based on batch data are great for looking back at trends and potentially making long-term decision, but old data is in many cases already obsolete, and the opportunity to have an actionable impact on the success of a specific process may have been lost.","Excella, USA"
Building a Scalable Data Science & Machine Learning cloud using Kubernetes,Tagline: A real-life story of architecting & building a cloud-native data science platform using Kubernetes.,"Rancher Labs, USA"
Machine Learning Engineering,"When learning about machine learning methods, much effort is put into the fun part i.e. training and tweaking the models to improve upon your favorite performance metrics."," Adform, Poland"
The Future of Traditional Shopping Driven by Customer Centric Approaches,"Artificial Intelligence gives retailers a great opportunity to evolve from point of sale to point of experience, convenience and omnichannel. In the coming years e.g., it will be easy to use bots for purchases perceived as boring and monotonous. As a consequence, offline retailers will have to be customer obsessed, keeping them engaged and loyal to their products if they don’t want to fall into an only-transactional buying category.","Teradata Corporation, Germany"
A Game Theory Approach for Data Driven Business Decisions: Use Case in Portfolio Optimization,Companies have a lot of useful information obtained from data that can be transformed into analytical models ready to use in business decision processes. ,"Telefonica S.A., Spain"
Predicting Hotel Cancellations with Machine Learning,"Hotel cancellations can cause issues for many businesses in the industry. Not only do cancellations result in lost revenue, but this can also cause difficulty in coordinating bookings and adjusting revenue management practices.","MGCodesandStats, Ireland"
Stream Processing for Analysts with Flink and Nussknacker,Analyzing and gaining insights from large amounts of data is one thing. Doing it in real time is a whole different business.,"TouK, Poland"
Overview of Generative Adversarial Networks (GANs),"Until recently, generative modeling of any kind has had limited success. But now that Generative Adversarial Networks (GANs) have recently reached few tremendous milestones (and truly exponential growth in the interest in this technology), we are now closer to a general purpose framework for generating new data.","Yepic, UK"
cGAN for Automatic Site Selection of Cultural Venues [P22404],"Now GANs can achieve a variety of applications such as synthesizing full-HD synthetic faces, to semi-supervised learning as well as defending and mastering adversarial examples, we can discuss them in this talk.","SHI GmbH, Germany"
Big Data Serving: The Last Frontier. Processing and Inference at Scale in Real Time,"The big data world has mature technologies for offline analysis and learning from data, but have lacked options for making data-driven decisions in real time. This talk introduces vespa.ai – a mature open source platform for storing, selecting processing and making model inferences over large data sets at end user request time.","VaHa, Belgium"
More Than a Query Language: SQL in the 21st Century,"“Great News–The Relational Model is Dead” was a prominent comment on the release of the new SQL standard in 1999. The message behind the provoking statement was that SQL has evolved beyond the relational model. As much as this move was discussed at that time, it took decades until database vendors caught up with this idiomatic change. Many developers haven’t heard of it until today.","winand.at, Austria"
Embedded Analytics through Data API or What Big Companies are Hiding from You,There are more than 20 years of experience of building amazing ETL and BI solutions and tools. These solutions proved being very useful and will serve us in the future.,"Peekdata.io, Lithuania"
Best Practices for Building AI Datasets,"Datasets are the most basic building blocks in AI systems, and the most innovative solutions often require manually collecting and labelling data. Yet most teams put their emphasis on magical models instead of solid, high quality datasets. In this talk, I will discuss many of the best practices for building AI datasets from scratch.","Electric Brain Software Corporation, Canada"
Runtime Modifications of Distributed Big Data AI Models and Its Parameters,"There has been phenomenal growth of interest in distributed data analysis with large software and other commercial entities. They are trying to construct the solutions that facilitate flexible, scalable and heterogeneous IT-infrastructures dealing with Big Data analysis. Distributed data processing platforms such as Hadoop or Apache Spark became a de-facto standard in the world of Big Data processing, and in cloud economy. ","TNO, The Netherlands"
The Journey Through Real Estate Price Model Development,"Together with his team, Vygantas has developed a model that predicts the selling price of homes in Denmark. The development was an exciting journey with many challenges and different attempts to overcome them. Sometimes the build process is more interesting than the final model itself. Thus, Vygantas is very happy to offer you a walkthrough of this experience with all the pains and joys encountered along the way.","Danske Bank, Lithuania"
Better Data Exploration and Visualisation with Elasticsearch and Kibana,"Data science has incredibly sophisticated analysis tools which are very effective, but rarely very convenient for their operators. In this live demo we will focus primarily on the prototyping and exploration phase of a data scientist’s workflow.","Elastic, UK"
Breakthroughs and the Future of (Deep) Reinforcement Learning,"Due to recent successes in winning computer games against humans, Reinforcement Learning (RL)","Dr. Bühlmeier Consulting, Germany"
