title,description,company,industry
Improve ML Training Performance with Amazon SageMaker Debugger (Presented by Amazon Web Services) [S22493],"During ML model training, it’s challenging to ensure that models are progressively learning the correct values for different parameters and to analyze and debug model characteristics without building additional tools, making the process time-consuming and cumbersome. With Amazon SageMaker Debugger, developers can get complete insights into the training process by automating data capture and analysis from training runs without code changes. We'll take a closer look at how you can define rules to monitor and analyze tensors and watch for issues in your model. By monitoring training flow, developers can improve GPU utilization, reduce troubleshooting time during training, and build high-quality models.","Shashank Prasanna, Sr. Developer Advocate, AI/ML, Amazon Web Services",Software / Cloud Services
Is the Label Trustworthy? Training Better Deep-Learning Models via Uncertainty Mining Net [P22055],"In this work, we consider a new problem of training deep neural networks on partially labeled data with label noise. To our best knowledge, there have been very few efforts to tackle such problems. We present a novel end-to-end deep generative pipeline for improving classifier performance when dealing with such data problems. We call it Uncertainty Mining Net (UMN). During the training stage, we utilize all the available data (labeled and unlabeled) to train the classifier via a semi-supervised generative framework. During training, UMN estimates the uncertainly of the labels to focus on clean data for learning. More precisely, UMN applies the sample-wise label uncertainty estimation scheme. Extensive experiments and comparisons against state-of-the-art methods on several popular benchmark datasets demonstrate that UMN can reduce the effects of label noise and significantly improve classifier performance.","Yang Sun, Applied Research Scientist, IBM",Software / Cloud Services
Manifold Regularization For Time Series Embedding [P22063],"The wide use of multivariate time-series data has also brought up challenges for humans to parse the long sequences, in its raw form, to identify patterns, create labeled data for supervised modeling approaches, summarize, and explain cause and effect. Variational AutoEncoder (VAE) is a class of deep-generative models that have been used to learn a concise representation of the input data while minimizing information loss. However, when dealing with time-series data these models do not take into account the continuity in the input time-series data. In this work, we use the VAE model along with manifold regularization on the embeddings to learn a smooth representation for the time-series data that can be used to effectively visualize different patterns.","Abhishek Kolagunda, Applied Deep Learning Scientist, IBM",Software / Cloud Services
Performance Optimization on Quantized Deep-Learning Models [S22484],"Quantization (8-bit) has been broadly adapted in computer vision-related deep-learning models for better inference performance. We present a set of techniques to speed up inference performance on a quantized model (8-bit). At graph level, we proposed a quantization-aware global layout transformation and graph optimization to minimize the data-layout transformation between 32-bit float and 8-bit integer. At the kernel level, we proposed an algorithm to fused the IM2COL with GEMM to save both the GPU memory usage and CUDA launch time caused by the process to generate IM2COL matrix. In addition, we proposed a double-buffering technique to improve the concurrency and reduce the data dependency. By comparing with cuDNN 7.1, our proposed method got up to 5x performance improvement.","Zhenyu Gu, Staff Engineer, Alibaba Group",Software / Cloud Services
PyTorch from Research to Production [S21928],"Learn how to get your neural network from the PyTorch framework into production. Explore ways to handle complex neural network architectures during deployment. We'll show how to transform a neural network developed in PyTorch into a model ready for a production environment and exemplify the workflow on a conversational AI system. For full understanding, you should be familiar with PyTorch framework and have some interest in model deployment for inference. We’ll demonstrate the neural network system on TensorRT Inference Server (TRTIS).","Grzegorz Karch, Engineer, ASIC, NVIDIA",Software / Cloud Services
qCUDA-ARM: Virtualization for Embedded GPU Architectures [P21851],"The emergence of the internet of things (IoT) is changing the ways to compute resource acquisition, from centralized cloud data centers to distributed pervasive edge nodes. We investigated two research trends to cope with the small amount of diversity problem for IoT devices and applications for the system design of edge nodes: heterogeneity and virtualization. Our poster presents the integration of those two important trends, and a virtualization system for embedded GPU architectures, called qCUDA-ARM. We evaluated the performance of qCUDA-ARM with three CUDA benchmarks and two-real world applications. For computationally intensive jobs, qCUDA-ARM can perform similar to the native system; for memory-bound programs, qCUDA-ARM can reach up to 90% of native performance.","Che-Rung Lee, Professor, National Tsing Hua University",Software / Cloud Services
Recommendation Systems Using Distributed Graph Convolutional Networks (GCN) on GPUs (Presented by Amazon Web Services) [S22491],"Deep learning so far has been mostly applied to simple and structured data, such as images, or sequences, such as time-series and language. Most of the information in the world is, however, non-Euclidean and complex and can be presented as graph. Molecules, social network relatedness, and relationships between products and consumers are among the more popular examples. We'll represent an intuitive theory of Graph Convolutional Networks and provide a walkthrough on an implementation for recommender systems using Deep Graph Library and Apache MXNet.","Cyrus Vahid, Principal Solutions Engineer, AI Platforms, Amazon Web Services",Software / Cloud Services
SPTAG and GPU Acceleration for Approximate Nearest Neighborhood Search [s21561],"The Approximate Nearest Neighborhood (ANN) search algorithm is essential to many machine-learning applications. For instance, vector similarity search, multimedia search, and duplicate entry search all employ ANN for handling very large datasets efficiently. There are two main approaches to implementing ANN: space partitioning trees and locality sensitive hashing. Although hashing methods are accelerated on the GPUs (RAPIDS and FAISS), to our knowledge there is no GPU-accelerated space partitioning ANN algorithm in the literature. We'll present the GPU acceleration of the SPTAG library, where both space partition tree and neighborhood graph construction are accelerated on GPUs. We'll discuss the data structures and algorithms developed for efficient GPU implementation. Finally, we'll discuss the performance characteristics and compare the execution times against a single-socket GPU.","Mingqin Li, Principal Software Engineer Manager",Software / Cloud Services
Visual Anomaly Detection using NVIDIA DeepStream with Azure IoT [S22675],"In this workshop, you'll discover how to build a solution that can process up to 8 real-time video streams with an AI model on a $100 device, how to remotely operate your device, and demonstrate how you can deploy custom AI models to it. With this solution, you can transform pixels from a camera into insights to know when there is an available parking spot, a missing product on a retail store shelf, an anomaly on a solar panel, a worker approaching a hazardous zone., etc. We'll build this solution using NVIDIA DeepStream on a NVIDIA Jetson Nano device connected to Azure via Azure IoT Edge. DeepStream is a highly-optimized video processing pipeline, capable of running deep neural networks. It is a must-have tool whenever you have complex video analytics requirements like real-time object detection or when employing cascading AI models. IoT Edge gives you the possibility to run this pipeline next to your cameras, where the video data is being generated, thus lowering your bandwidth costs and enabling scenarios with poor internet connectivity or privacy concerns. We'll operate this solution with an aesthetic UI provided by IoT Central and customize the objects detected in video streams using Custom Vision, a service that automatically generates computer vision AI models from pictures.","Paul DeCarlo, Senior Cloud Advocate, Microsoft",Software / Cloud Services
Wide and Deep Recommender Inference on GPU [S21559],"We'll discuss using GPUs to accelerate so-called ""wide and deep"" models in the recommendation inference setting. Machine learning-powered recommender systems permeate modern online platforms. Wide and deep models have become a popular choice for recommendation problems due to their high expressiveness compared to more traditional machine learning models, and the ease with which they can be trained and deployed using Tensorflow. We'll demonstrate simple APIs to convert trained canned Tensorflow estimators to TensorRT executable engines and deploy them for inference using NVIDIA’s TensorRT Inference Server. The generated TensorRT engines can also be configured to enable reduced-precision computation that leverages tensor cores in NVIDIA GPUs. Finally, we'll show how to integrate these served models into an optimized inference pipeline, exploiting shared request-level features across batches of items to minimize network traffic and fully leverage GPU acceleration.","Alec Gunny, Solutions Architect, NVIDIA",Software / Cloud Services
Accelerated Analytics Fit for Purpose: Scaling Out and Up (Presented by OmniSci) [S22556],"OmniSci has demonstrated the massive scaling possible using GPUs for computation and visualization. However, not every analytics problem or user persona requires massive scale; rather, our customers say they want proper-sized tools for the various problems they encounter across the enterprise. Our talk will outline the vision for scaling the OmniSci platform from trillions of records in a giant data store to hundreds of millions of records on a laptop, and every form factor in between. Whether you have a massive cluster of servers, a data science workstation, a GPU-enabled laptop, or even a CPU-only laptop, OmniSci can provide the same accelerated analytics experience appropriate for the problem at hand.","Venkat Krishnamurthy , VP Product, OmniSci",Software / Cloud Services
Accelerating AI Workflows with NGC [S22421],"AI has moved beyond research into mission-critical production. AI is now solving real-world problems for organizations around the globe, who are looking to move faster and do more with their data. NVIDIA provides a range of SDKs that simplify training, inference, and deployment of AI for industries including health care, smart cities, robotics, and telecommunications. We'll cover how NGC, through containers, pre-trained models, helm charts, and SDKs, allows data scientists and developers to build AI solutions faster, DevOps to streamline the development-to-production process, and IT teams to quickly provide compute platforms that the users need. We'll demo how you can take advantage of an SDK to easily build and deploy your AI solution on-premises, at the edge, or in the cloud.","Adel El Hallak, Director of Product Management for NGC, NVIDIA",Software / Cloud Services
Accelerating Applications for the NERSC Perlmutter Supercomputer Using OpenMP [s21387],"Learn about the NERSC/NVIDIA effort to support OpenMP target offload on the forthcoming NERSC-9 Perlmutter supercomputer with next-generation NVIDIA GPUs. NVIDIA's HPC compilers for C, C++, and Fortran will support a subset of OpenMP 4.5/5.0 for GPU offload on Perlmutter. We'll review the primary features included in this subset, walk through the reasons some features were included and others were left out, and highlight the characteristics that make some OpenMP applications better candidates for GPU acceleration than others. Selected teams from the NERSC Exascale Science Applications Program (NESAP) are porting their applications to NVIDIA GPUs using this subset of OpenMP for target offload. We'll share their early experiences and those of other NERSC developers working with early releases of NVIDIA's OpenMP-offload-enabled compilers.","Christopher Daley, HPC Performance Engineer, Lawrence Berkeley National Laboratory",Software / Cloud Services
Accelerating Chemistry Modules in Atmospheric Models Using GPUs [S22005],"We’ll explore a novel solution to speed up chemistry modules in atmospheric models. The Multiscale Online Nonhydrostatic AtmospheRe CHemistry model (MONARCH), a chemical weather prediction system developed by the Barcelona Supercomputing Center, is used as our test bed. The model implements a new flexible treatment for gas- and aerosol-phase chemical processes, Chemistry Across Multiple Phases (CAMP), that allows multiple chemical processes (such as gas- and aerosol-phase chemical reactions, emissions, deposition, photolysis, and mass-transfer) to be solved simultaneously as a single system. We’ll discuss innovative ways to speed up the CAMP module, including reducing memory accesses, multiple-cell chemistry solving, adaptation of the most time-consuming functions to GPUs, and heterogeneous computation approaches for CPU/GPU execution. We'll compare the optimized model to state-of-the art chemistry solvers commonly used in the earth sciences community (for example, EBI and KPP).","Christian Guzman-Ruiz, Junior Engineer, Barcelona Supercomputing Center",Software / Cloud Services
Accelerating Hyperparameter Tuning with Container-Level GPU Virtualization [S21463],"Many people think that hyperparameter tuning requires a large number of GPUs to get optimal results quickly. That's generally true, but to what extent? We'll present what we've learned about finding a sweet spot to balance both costs and accuracy by exploiting partitioned GPUs with Backend.AI's container-level GPU virtualization. Our benchmark includes distributed mnist, cifar10 transfer learning and TGS salt identification cases using AutoML with network morphism and ENAS tuner with NNI running on NGC-optimized containers on Backend.AI. You'll get a tangible guide to plan and deploy your GPU infrastructure capacity in a more cost-effective way.","Jeongkyu Shin, CEO/Researcher, Lablup Inc.",Software / Cloud Services
Acceleration of Test Data Quality Assurance Technology Using Neuron Coverage [P21809],"“Neuron coverage test” is one way to test quality in deep-learning systems. We've implemented “DeepXplore,” which is a quality test method for DL systems that applies our unique high-speed inference library. DeepXplore is a framework that can systematically test DL systems and automatically generate misrecognition images from the coverage rate of the trained model and the output difference of the comparison model. However, a large amount of inference would be necessary to automatically generate these misrecognition images, and that could require a lot of processing time. We sped up processing by using our unique high-speed inference library to implement DeepXplore.","Yuki Shindo, Staff, Computermind Corp.",Software / Cloud Services
AceCAST GPU-Enabled Weather Research and Forecasting Model Development and Applications [P22064],"The Weather Research and Forecasting (WRF) model is an open-source, mesoscale numerical weather prediction system designed to serve both operational forecasting and atmospheric research needs. It is the most widely used regional weather forecasting model and a top 5 HPC application worldwide. TQI has implemented an OpenACC/CUDA-based version of WRF to take advantage of NVIDIA GPUs. By utilizing GPUs, the measured performance benefits enable better forecasting through higher resolution, temporal/geographical extents, and so on. Our poster discusses the GPU implementation of the model as well as performance benchmarks demonstrating the model’s practical performance benefits. TQI has also developed a cloud-based solution for running end-to-end AceCAST GPU-WRF workflows on AWS. This provides a solution for a wide range of users who would otherwise not have access to GPU-based compute resources, and automates a highly complex process that is a significant barrier for researchers and operational weather forecasters.","Samuel Elliott, Director of NWP Solutions, TempoQuest Inc.",Software / Cloud Services
Advanced Scientific Visualization with NVIDIA Omniverse [S21973],"Historically, scientific visualization has served two main purposes: on one hand, for the scientist to gain insight into the data and the processes under investigation; on the other hand, for outreach and education, to communicate scientific results to the public and to funding bodies. The tools associated with these workflows are hugely diverse, often preventing scientists from getting access to the highest quality visuals for telling their stories. Especially in times where the general public has been spoiled with computer-generated content in movies, the gap in visual quality between scientific content and entertainment content has never been bigger. Tools that seamlessly fit into the scientific workflow while being capable of producing the highest quality visuals are therefore needed. We'll outline how Omniverse, NVIDIA’s collaboration platform for 3D content creation, can be leveraged to greatly simplify, accelerate, and enhance scientific visualization. We'll introduce the overall Omniverse architecture and then focus on the scientific workflow. We cover how content can be ingested into Omniverse, as well as how content from different sources can be fused and how to produce rich, high-quality visualizations. We'll then show how to augment these visualizations with the embedded real-time physics engine PhysX. Further, we'll demonstrate how, through Omniverse, virtual reality setups that incorporate scientific visualizations can be defined quickly and easily.","Kees van Kooten, Scientific Visualization Software Engineer, NVIDIA",Software / Cloud Services
Advances in Real-Time 3D Hologram Generation [S21248],"We'll introduce VividQ's software pipeline, which facilitates the extraction of 3D point cloud data and conversion to a hologram to be displayed using diffractive optics. This allows for the real-time projection of scenes as truly 3D holographic images. For example, video games can now be viewed in true 3D with full depth of focus. We'll explain why this problem is computationally hard, and how using NVIDIA GPUs allows us to overcome it. Recent advances in hologram generation procedures will be explored, including benefits from newer GPU models and the application of multiple GPUs to computing for a binocular holographic system. We'll also discuss results from VividQ's latest holographic augmented reality head-mounted display prototype.","Tom Durrant, Chief Development Officer, VividQ",Software / Cloud Services
A Faster Radix Sort Implementation [S21572],"We'll present a faster implementation of the least-significant-digit radix sort. Decoupled look-back is used to reduce the number of memory operations per partition pass from 3N to 2N. A faster partition implementation inside the thread block is used. For 32-bit keys, we use four partition passes, with 8 bits per digit. On V100 sorting 64 million random UInt32 keys, our implementation achieves the speed of 16 Gkey/s, which is more than 2x faster than cub::DeviceRadixSort.","Andrey Adinets, AI Devtech, NVIDIA",Software / Cloud Services
AIaaS: Scaling AI Infrastructure for the Enterprise from DGX-1 to SuperPOD [S21996],"Are you getting the most out of your GPU-accelerated hardware? AIaaS (AI-as-a-Service) deployments provide powerful new ways for enterprises to stand up AI infrastructure on top of GPU-accelerated servers (such as NVIDIA DGX Servers). Data scientist users can interact with the cluster via GUI or a simplified command-line interface, where knowledge of underlying container, orchestration, and scheduling technologies is obfuscated. Such systems allow administrators to maximize use of resources and users to get more work done. We'll focus on the variety of AIaaS stacks, considerations, and how to deploy them. We'll demonstrate scaling common AI workloads from a single GPU on an NVIDIA DGX-1 to a SuperPOD cluster (64x DGX-2). We'll also discuss methods to integrate storage and manage datasets, tie in authentication and authorize users, train on NGC containers, and deploy models to production.","Michael Balint, Senior Product Manager, NVIDIA",Software / Cloud Services
AI Argus: A Unique Insight Into Logistics [P21812],"As of August 2019, AI Argus, the leading domestic intelligent video analytics platform powered by NVIDIA TeslaT4 and Xavier servers, has been deployed and applied in more than 200 distribution centers and sorting centers in China. We'll focus on algorithms such as loading-rate detection and violated-action pattern detection. AI Argus introduced the Package Lifecycle Tracking System (PLTS), which uses the whole SF's 310,000-channel camera video data to match the Operator's barcode data collector for locating the courier package on each operating node. It shows that the detection of damage caused by penetrating damage, moisture, wrinkles/pressure is significant. We'll further develop and research product performance indicators based on T4 and Xavier. We expect that in the coming year, AI Argus will deploy thousands of edge servers and become the first truly large-scale edge computing platform in China's logistics industry.","Neo Song, Chief Engineer, SF Techology",Software / Cloud Services
AI/ML with vGPU on Openstack or RHV Using Kubernetes [S22106],"By sharing GPU resources for AI/ML, you can better utilize on-premises hardware and gain flexibility without moving sensitive workflows into the cloud. Learn how Red Hat Openstack Platform and Red Hat Virtualization are bringing agility to AI/ML accelerated workloads with vGPU. We'll describe how Red Hat contributes to new vGPU capabilities like SR-IOV and live migration support. This makes setting up AI/ML within a Kubernetes system even simpler and more reliable, as the workloads can be migrated and SR-IOV functionality boosts the performance and usability of the vGPU device.","Erwan Gallen, Senior Principal Product Manager, Red Hat",Software / Cloud Services
An Overview of GPU Recurrent Neural Network Performance [S21301],"We'll focus on performance of recurrent neural networks (RNNs) at the sub-framework level. There are several distinct methods one can use to implement an RNN, each with advantages and disadvantages, and the right choice will depend on both the target GPU and the network hyperparameters. We'll cover these methods in detail and give approximate hyper-parameter ranges for each method.","Jeremy Appleyard, AI DevTech, NVIDIA",Software / Cloud Services
AutoFAQ: Automation of Customer Support for Most Common Questions [s21252],"In most support systems, up to 70% of user questions are very similar to each other. Instead of manually answering each of them, it makes sense to automate it. We'll discuss the business value of such systems, and how to integrate them into processes; how to develop an architecture for automating question-answering; how to set up a training loop, and which algorithms to choose; which models need to be trained, and why; and state-of-the-art language modeling models. Knowledge of Python, NLP, language models, and cloud computing will be helpful, but it's not essential.","Vitaly Davydov, CEO, Poteha Labs",Software / Cloud Services
Building a Smart Language-Understanding System for Conversational AI with HuggingFace Transformers [S22647],"In this session, HuggingFace showcases an example of a natural language understanding pipeline to create an understanding of sentences, which can then be used to craft a simple rule-based system for conversation. They'll leverage the famous HuggingFace transformers and showcase the powerful yet customizable methods to implement tasks such as sequence classification, named-entity recognition, natural language generation, or question answering. These tasks will be joined to create a basic NLU pipeline to get the most out of a sentence or text, using transformer models such as BERT to provide state-of-the-art results. These methods leverage the PyTorch or TensorFlow numerical computation frameworks, which can leverage the power of GPUs to radically speed up the inference.","Lysandre Debut, Machine Learning Engineer, Hugging Face, Inc.",Software / Cloud Services
CLOUDXR: Streaming AR and VR [S22178],"Learn how the NVIDIA CloudXR SDK can help you drive immersive extended reality (XR) experiences from anywhere using NVIDIA Quadro GPUs. NVIDIA CloudXR is the groundbreaking technology that delivers wireless virtual and augmented reality from NVIDIA RTX GPUs across performant networks. By dynamically adjusting to network conditions, CloudXR maximizes image quality and frame rates. Scale XR capabilities throughout your enterprise by combining CloudXR with NVIDIA GPU virtualization software to provide seamless experiences comparable to the most robust tethered configurations. Included in this presentation will be examples of partner ISVs extending the OpenVR applications into XR streaming applications.","Greg Jones, Senior Manager, Global Business Development for Enterprise XR, NVIDIA",Software / Cloud Services
Combined Python/CUDA JIT for Flexible Acceleration in RAPIDS [S21393],"We'll introduce our design and implementation of a framework within RAPIDS/cuDF that enables compiling Python user-defined functions and inlining them into native CUDA kernels. Our framework uses the Numba Python compiler and Jitify CUDA just-in-time (JIT) compilation library to provide cuDF users the flexibility of Python with the performance of CUDA as a compiled language. An essential part of the framework is a parser that parses the CUDA PTX function, which is compiled from the Python UDF, into an equivalent CUDA device function that can be inlined into native CUDA C++ kernels. Learn how our approach makes it possible for non-expert Python users to extend optimized dataframe operations with their own Python UDFs, and enables more flexibility and generality for high-performance computations on dataframes in RAPIDS.","Jiqun Tu, NVIDIA",Software / Cloud Services
CuPy Overview: NumPy Syntax Computation with Advanced CUDA Features [S22471],"We'll introduce CuPy, describing the advantages of the library and how it is cleanly exposing in Python multiple CUDA state-of-the art libraries such as cuTENSOR or cuDNN. Discover the CuPy advantages and how they can use it to experience performance gains in their NumPy codes without any major changes.","Crissman Loomis, Engineer/Business Development, Preferred Networks",Software / Cloud Services
Distributed Deep Learning with Horovod on Spark [s21300],"We'll show how to scale distributed training of TensorFlow, PyTorch, and MXNet models with Horovod, a library designed to make distributed training fast and easy to use. We'll explain the role of Horovod in taking a model designed on a single GPU and training it on a cluster of GPU servers with just a few additional lines of Python code. We'll also explore how Horovod has been used across the industry to scale training to hundreds of GPUs, and the techniques that are used to maximize training performance. Although frameworks like TensorFlow and PyTorch simplify the design and training of deep learning models, difficulties usually arise when scaling models to multiple GPUs in a server or multiple servers in a cluster.","Travis Addair, Senior Software Engineer, Uber Technologies",Software / Cloud Services
Document Understanding Platform: Extracting Structured Information from Financial Documents [S21459],"In today’s highly automated world of financial services, consumers, the self-employed, and small business owners still face the tedious and time-consuming task of entering data manually from paper documents. Document Understanding is a company-wide initiative at Intuit that aims to make data preparation and entry obsolete through the application of computer vision and machine learning. We'll describe the design and modeling methodologies used to build this platform-as-a-service. Intuit’s Document Understanding Platform orchestrates a variety of services and machine-learning capabilities using structured and unstructured documents uploaded by users, regardless of format (smartphone photos, PDFs, forms, etc.), and presents high-confidence results back within the company’s product ecosystem.","Joy Rimchala, Data Scientist, Intuit",Software / Cloud Services
Efficient 3D Convolutional Network Design for Human Instance-Level Video Action Recognition [P22275],"We discuss the design factors of the human instance-level video action recognition, especially on edge computing hardware like a Jetson AGX Xavier embedded module. First, we present our research motivation in human action recognition fields. Second, we talk about our pipeline for human instance-level video action recognition. Third, we explain how to enhance the accuracy using person detectors such as YOLOv3 and Mask RCNN. Finally, we discuss how to utilize action recognition models in terms of accuracy to action inference speed ratio on the Xavier module, which is very useful in practice.","Inwoong Lee, Researcher, Artificial Intelligence Research Institute (AIRI)",Software / Cloud Services
Espresso: A Fast End-to-End Neural Speech Recognition Toolkit [s21239],"We'll introduce Espresso, an open-source, modular, extensible, end-to-end neural automatic speech recognition (ASR) toolkit based on the deep learning library PyTorch and the popular neural machine translation toolkit fairseq. Espresso supports distributed training across GPUs and computing nodes, and features various decoding approaches commonly employed in ASR, including look-ahead word-based language model fusion, for which a fast, parallelized decoder is implemented. Espresso achieves state-of-the-art ASR performance on the WSJ, LibriSpeech, and Switchboard datasets, among other end-to-end systems without data augmentation, and is up to 11x faster for decoding than similar systems, such as ESPnet.","Yiming Wang, Ph.D. Student, Johns Hopkins University",Software / Cloud Services
Evaluation of a Multi-GPU Optimized Non-Hydrostatic Ocean Model with Multigrid Preconditioned Conjugate Gradient Method [P21930],"The conjugate gradient method with multigrid preconditioners (MGCG) is used in scientific applications because of its high performance and scalability with many computational nodes. GPUs are thought to be good candidates for accelerating such applications, with many meshes where an MGCG solver could show high performance. No previous studies have evaluated and discussed the numerical character of an MGCG solver on GPUs. Consequently, we implemented and optimized our “kinaco” numerical ocean model with an MGCG solver on GPUs. We evaluated its performance and discussed inter-GPU communications on a coarse grid on which GPUs could be intrinsically problematic. We achieved 3.9x speedup compared to CPUs, and learned how inter-GPU communications depend on the number of GPUs and the aggregation level of information in a multigrid method.","Takateru Yamagishi, Chief, RIST",Software / Cloud Services
