title,description,company,industry
Beyond-Line-of-Sight (BLOS) Perception System for Autonomous Vehicles [P21842],"Recently, autonomous vehicle perception systems show great performance based on deep-learning technology. Cameras and lidar are commonly used for autonomous driving. However, onboard sensors naturally have limited line-of-sight. Our work introduces a BLOS (beyond-line-of-sight) perception system that mutually complements communicated perception with V2X technology and local perception with onboard sensors. The proposed system is integrated into a full-scale vehicle, and we validated the performance and potential by experiments in the real world.","Chanyoung Chung, Researcher, KAIST (Korea Advanced Institute of Science and Technology)",Engineering / Transportation
Bike-Share Demand Prediction from Partial Future data Using Conditional Variational AutoEncoders [P21739],"Recently, bike-sharing services are working worldwide. One important aspect of bike-share management is to periodically rebalance the positions of the available bikes. Because the bike demand varies by and over time, the number of bikes at each bike-port tends to become unbalanced. To efficiently rebalance a bike-share system, it is essential to predict the number of bikes in each bike-port. In this poster, we propose a method to predict the bike demand at each bike-port every hour, up to 24 hours ahead. This method is based on Variational AutoEncoders and Sequence-to-Sequence Neural Networks. We called this method “Conditional Variational AutoEncoders considering Partial Future data”. In the experiment, our proposal method showed higher prediction accuracy than the other methods.","Mimura Tomohiro, Software Engineer, NTT DOCOMO, INC.",Engineering / Transportation
Bringing the Autodesk VRED Raytracer to the GPU [s21344],"Autodesk VRED helps designers and engineers create product presentations, design reviews, and virtual prototypes using interactive raytracing and analytic render modes. We'll show how we brought the VRED raytracer to the GPU using NVIDIA Optix. We'll also talk about specific requirements and challenges we faced, and demonstrate the results we achieved utilizing NVIDIA RTX.","Michael Nikelsky, Senior Principal Engineer, Autodesk",Engineering / Transportation
Coverage-Driven Verification for Ensuring AV and ADAS Safety [S22183],"One of the main evolutions the autonomous vehicle industry has seen over the last couple of years is that many companies have reached the point where they can make the fundamentals of AVs work just fine — sensing, planning routes, controlling the vehicle. The really hard part, though, is the validation and verification of all of the hazardous edge cases. We'll address these tough questions about how to enable sufficient verification to ensure AV safety:
How do you handle the infinite space of all the possible driving scenarios that need to be tested?
How can you control the various simulators and other execution platforms used for running the testing scenarios?
How can functional coverage help to systematically go over all the known and unknown hazardous edge cases?
How can you provide metrics that show that the remaining hazardous test cases result in a risk that is acceptable?","Ziv Binyamini, CEO, Foretellix",Engineering / Transportation
Deep Learning for 3D Vision (Point Clouds) [S21112],"Learning on 3D point clouds is vital for a broad range of emerging applications such as autonomous driving, robot perception, VR/AR, gaming, and security. Such needs have increased recently due to the prevalence of 3D sensors such as lidar, 3D cameras, and RGB-D depth sensors. Point clouds consist of thousands to millions of points and are complementary to the traditional 2D cameras in the vision (or multimedia) community. 3D learning algorithms on point cloud data are new, and exciting, for numerous core problems such as 3D classification, detection, semantic segmentation, and face recognition. The tutorial covers the 3D sensors, 3D representations, emerging applications, core problems, state-of-the-art learning algorithms (for example, voxel-based and point-based), and future research opportunities. We'll also showcase our leading work in several 3D benchmarks such as ScanNet, KITTI, etc., and efficient neural network training (with data parallelism) by NVIDIA GPU platforms (for example, DGX-1).","Winston Hsu, Professor, National Taiwan University",Engineering / Transportation
Drones as a Tool for Development and Safety Validation of Automated Driving Functions [P21913],"Automated driving heavily relies on data-driven methods. Large datasets of real-world measurement data, in the form of road-user trajectories, are crucial for several tasks, such as road-user prediction models or scenario-based safety validation. Using a drone has the major advantage of recording naturalistic behavior. Due to the ideal viewing angle, an entire scenario can be measured with significantly less occlusion than with sensors at ground level. Both the class and the trajectory of each road user can be extracted from the video recordings with high precision using state-of-the-art deep neural networks. Therefore, we have created a large-scale urban intersection dataset with naturalistic road-user behavior using camera-equipped drones. The resulting dataset contains road users including vehicles, bicyclists, and pedestrians at intersections in Germany, and is called inD. The dataset is available online for non-commercial research at: http://www.inD-dataset.com.","Julian Bock, Manager Artificial Intelligence, fka GmbH",Engineering / Transportation
Eliminating Hidden Bias in Autonomy and Beyond [S22701],"Speaker: Deepti Mahajan, Machine Learning Engineer, Ford Greenfield Lab We tend to trust that the systems that govern our day-to-day life—standards followed by industry, regulations passed by governments—are based on thorough research. However, in many cases, the data used to design these systems fails to represent us all equally and can even reinforce or amplify existing biases. As designers and engineers of the next generation of mobility, how can we learn to recognize hidden bias in the data we utilize and information we take for granted, and thus work towards creating systems that serve everyone?","Deepti Mahajan, Machine Learning Research Engineer, Ford Motor Company",Engineering / Transportation
"End-to-End Learning with Combined ""Real-World"" and ""Sim-World"" Datasets [P22060]","Training end-to-end learning for self driving requires large and diverse data. We can deal with that if we collect the data not just from the real world, but also simulations. Therefore, we built a customized map based on the real-world proving ground, KIAPI in Korea, using the Unreal Engine. By using the map in the open-source simulator, CARLA, we could collect both simulated and reality-based datasets of KIAPI in parallel. We integrated both datasets in several different ratios and evaluated their validity by training an end-to-end learning network with them.","Hyunki Seong, Master's Student, KAIST",Engineering / Transportation
Generating Diverse and Photorealistic Synthetic Data for Real-World Perception Tasks [S21321],"We'll cover these two related topics: First, leveraging generative adversarial networks for style transfer to diversify simulated images rendered in simple domains (that is, easier to render realistically, such as daytime) into photorealistic images in different weather and lighting conditions, using domain translation models (such as day-to-night, clear-to-rainy, clear-to-snowy) learned once from generic real-world datasets; and second, investigating the role of the discriminator’s receptive field in unsupervised sim-to-real image translation. We'll show that reducing the discriminator’s receptive field is directly proportional to improved structural coherence during translation in scenarios where the real and simulated images used for training have mismatched content — a situation often encountered in real-world deployment. Prior knowledge in computer vision and deep learning will help you get the most out of this session.","Nikita Jaipuria, Research Scientist, Computer Vision & Machine Learning, Ford Motor Company",Engineering / Transportation
Geolocation of Traffic Lights and Signs Using Dashcam: Toward Low-Cost Map Maintenance [P21912],"HD maps for autonomous driving need to be maintained as close to the current real world as possible, but it's quite costly and time-consuming to employ many workers or special mobile-mapping systems. To solve that, we're developing technologies and systems that extract information required for map maintenance from low-cost dashcam videos by utilizing rapidly advancing computer vision techniques. This poster introduces our current basic pipeline to detect and geolocate traffic lights and signs captured in dashcam videos. We developed our own dataset by collecting videos from vehicles running on various Japanese roads. Experimental evaluation using the dataset demonstrates that our system can detect objects with more than 85% accuracy, and can estimate their locations within less than 10 meters under the Global Navigation Satellite System.","Kazuyuki Miyazawa, AI Research Engineer, DeNA Co., Ltd.",Engineering / Transportation
GPU-Accelerated Data Pipeline and Machine Learning on DRIVE AGX using RAPIDS [S21665],"We'll present the extended capability of RAPIDS on the DRIVE AGX platform by demonstrating how it enhances the in-car user experience, with examples. ML algorithms are used extensively to address various challenges in autonomous cars. They include complex, multi-stage data science pipeline, sensor data processing, modeling, and analytics to accomplish new ML-based applications. Potential applications include recommender systems through driver or vehicle personalization, visual analytics of driving data, classification of driver condition, driving scenario, and more. In many cases, application workload runs on CPUs or ECUs, leading to performance bottlenecks as data size and their computes increase. Application workload can be parallelized, causing significant speedup, using GPUs. NVIDIA developed RAPIDS to accelerate entire end-to-end data science and analytics pipelines on GPUs. In this talk, we present extended capability of RAPIDS on NVIDA DRIVE AGX platform by demonstrating how RAPIDS works.","Andy Park, Senior System Software Engineer, NVIDIA",Engineering / Transportation
Improving Performance Limits of Obstacle-Avoidance Driving with Randomized Model Predictive Control Using GPU [P22242],"Our poster presents improvements in the performance of obstacle-avoidance driving enabled by a GPU-based controller. A 1:10-scale remote control car is driven in a 60-cm wide track with two parked cars acting as obstacles. The controller is model-predictive with nonlinear constraints. Since a sampling-based approach is used to solve this nonlinear optimization problem, computation speed becomes a constraint as sample size increases. We use parallel computing to solve the sampling-based optimizations. Experiments using our RC car showed that we could achieve >100% increase in driving speed and >40% improvement in cost-function values.","Hiroyuki Okuda, Assistant Professor, Nagoya Univeristy",Engineering / Transportation
Object Recognition and Tracking Utilizing Millimeter-Wave Radar by Deep Neural Networks [s21188],"All-weather sensors are necessary for autonomous-driving Level 3 and higher. Millimeter-wave radar is the most robust sensor for adverse weather. However, the signal is noisy and fluctuated, and the resolution is low. Thus, recognition using the radar is difficult. Deep-learning algorithms are an effective solution. We'll show a method to classify and track objects in driving scenes with a high-resolution millimeter-wave radar applying long short-term memory. We designed and compared various types of input features and LSTM for our measured dataset and achieved high accuracy through cross validation. We'll also show a method to reconstruct shapes of parking spaces and cars with convolutional neural networks. Parking cars were scanned with side radar. The reflection signals were accumulated, and the shape was estimated by semantic segmentation framework, applying CNN for the ground-truth shape, annotated by a lidar.","Tokihiko Akita, Project Research Fellow, Toyota Technological Institute",Engineering / Transportation
Optimizing TensorRt Conversion for Real-Time Inference On Autonomous Vehicles [S22198],"TensorRt optimizes neural-network computation for deployment on GPU, but not all operations are supported. Reduced precision inference speeds up computation, but can cause regressions in accuracy. We'll introduce Zoox TensorRt conversion pipeline that addresses these problems. TensorRt compatibility checks are involved at the early stages of neural-network training to ensure that incompatible ops are discovered before wasting time and resources on full-scale training. Inference accuracy checks can be invoked at each layer to identify operations not friendly to reduced-precision computation. Detailed profiling reveals unnecessary computations that aren't optimized inside TensorRt, but can be optimized by simple code changes during graph construction. With this pipeline, we've successfully provided TensorRt conversion support to neural networks performing various perception tasks on the Zoox autonomous driving platform.","Zejia Zheng, Software Engineer, Zoox",Engineering / Transportation
Pacefish: GPU-Accelerated CFD from Scratch to Market [S21926],"Gain insights into the challenge of developing GPU-accelerated computational fluid dynamics software, from concept to product. Pacefish transforms the power of up to 16 NVIDIA GPUs into a predicted physical flow behavior around complex geometries like cars, buildings, cities, or in rooms. This helps engineers design magnificent cars having better driving capabilities at lower fuel consumption and higher cruising range, for example. Remarkable GPU-to-CPU-node speedup on the order of 20-30x allows Pacefish to drop the costs per simulation by a factor of 10. We'll talk about milestones on the road from scratch to market that we started in 2007, and show some results emphasizing the current product state. You'll learn the lessons from our most important technological decisions from the initiator, founder, and main developer himself.","Eugen Riegel, Managing Partner, Numeric Systems GmbH",Engineering / Transportation
Panoptic Segmentation DNN for Autonomous Vehicles [S21879],"We'll present our NVIDIA DriveAV's Panoptic Segmentation Deep Neural Network (DNN), which can be used for semantic and instance segmentation of complex scenes for self-driving car scenarios, such as complex urban areas, congested traffic, construction zones with unusual activities, and so on. With Panoptic Segmentation DNN, input images can be accurately parsed for both semantic segmentation (which pixels represent which object class), as well as instance content (which pixels represent which object instance). Planning and control modules can use panoptic segmentation results to better inform autonomous driving decisions. We'll cover our highly accurate GT dataset, DNN architecture, our multi-task training process, and our real-time inference (that includes post-processing steps) on vehicles' AGX compute. Our network achieves state-of-the-art accuracy and runs at 7ms end-to-end on NVIDIA AGX GPUs. We'll show videos of our experiments on a real vehicle in various challenging conditions.","Ke Chen, Senior Deep Learning Scientist, NVIDIA",Engineering / Transportation
Precise Ultra HD Map Data as Basis for NVIDIA DRIVE Sim Virtual Testing and Simulation [S22273],"Digital road data is the basis for virtual testing and simulation. The roads used for virtual testing and simulation have to be identical digital twins of the real-world roads. 3D mapping presents the technical solution for digitizing test tracks, race tracks, and public roads with high-end mobile surveying using high-resolution scanners and multiple cameras. The technology is used to produce precise high-definition reference maps in OpenDRIVE format, which are either used as basis for virtual simulation and testing or as reference map in the car for autonomous driving development. We'll show various project examples that were completed as the basis for NVIDIA DRIVE Sim through 2019.","Dr.-Ing. Gunnar Gräfe, CEO, 3D Mapping Solutions GmbH",Engineering / Transportation
PredictionNet: Predicting the Future in Multi-Agent Environments for Autonomous Vehicle Applications [S21899],"Predicting the future trajectories of road agents is an import part of the planning&control stack in autonomous vehicles. Deep-learning approaches can be superior to classical methods in this domain, because neural networks can learn to use context and environment as a prior to improve prediction. We'll present PredictionNet — a deep neural network (DNN) that can be used for predicting future behavior/trajectories of road agents in autonomous-vehicle applications. Our DNN takes a rasterized top-down view of the world provided by the perception system and computes future predictions from past observations. We'll present its architecture, training-data collection process, and our training procedures. We'll also show video demos of live predictions on our self-driving car.","Alexey Kamenev, Principal Deep Learning Scientist, NVIDIA",Engineering / Transportation
PyTorch-TensorRT: Accelerating Inference in PyTorch with TensorRT [S21671],"TensorRT is a deep-learning inference optimizer and runtime to optimize networks for GPUs and the NVIDIA Deep Learning Accelerator (DLA). Typically, the procedure to optimize models with TensorRT is to first convert a trained model to an intermediary format, such as ONNX, and then parse the file with a TensorRT parser. This works well for networks using common architectures and common operators; however, with the rapid pace of model development, sometimes a DL framework like Tensorflow has ops that are not supported in TensorRT. One solution is to implement plugins for these ops. Another is to use a tool like TF-TRT, which will convert supportable subgraphs to TensorRT and use Tensorflow implementations for the rest. We'll demonstrate the same ability with PyTorch with our new tool PTH-TRT, as well leveraging the PyTorch API's great composability features to allow users to reuse their TensorRT-compatible networks in larger, more complex ones.","Josh Park, Manager - Automotive Solutions Architect , NVIDIA",Engineering / Transportation
RTX-accelerated Stellar GPU GI – Behind the Scenes of the SIGGRAPH 2019 Demo of the 3DS Global Illumination Renderer [s21315],"We'll give an overview of the technology behind the 3DS global illumination renderer demo, the challenges building the demo, the insights gained from it, and the features developed since. Stellar GPU GI is the GPU backend of the global illumination renderer developed by Dassault Systèmes. First launched in the 3DEXPERIENCE platform in early 2019, it enables rendering experts and novices alike, from design, simulation, and marketing, to generate interactive and offline high quality renderings. Its features and performance, especially in combination with RTX GPUs and RTX servers, were demonstrated to the world at SIGGRAPH 2019.","Jan Meseth, R&D Technology Stellar Physically Correct Director, Dassault Systemes",Engineering / Transportation
Scalable Storage Environments Optimized for Autonomous Driving (Presented by DDN) [S22671],"Continued advances in the types and number of sensors used by autonomous vehicle companies is leading to developments. It is also leading to data management challenges on a massive scale. The autonomous mobility industry is an entirely new ecosystem combining sensors and other physical components, security, high performance computing technologies, consumer electronics, mapping and geolocation services and a variety of standard IT solutions. With vehicles generating up to 80TB per day, connected car initiatives can demand exabytes of data on a daily basis. We will explain how intelligent, optimized data environments for AI and HPC can streamline and tame the data onslaught. Parallel data paths, diverse data services, remote data caching and tight integration with advanced computing platforms, like NVIDIA DGX systems combine to enable these most scalable solutions.","James Coomer, Senior VP Product Management and Marketing, DDN",Engineering / Transportation
"Sensor Processing with the NVIDIA DriveWorks SDK: Abstraction, Algorithms, and Acceleration [S21714]","Autonomous vehicles (AV) rely on sensors to represent the world around them, so onboard processing must react to rapidly changing environments. The NVIDIA DriveWorks SDK enables developers to implement such AV solutions by providing an exhaustive library of software modules and tools that leverage the computing power of the NVIDIA DRIVE AGX platform. With DriveWorks, developers can focus on their applications instead of spending time on fundamental functionality and infrastructure. Our session will cover the DriveWorks Sensor Abstraction Layer, a unified interface for sensor life-cycle management, timestamp synchronization, and recording. We’ll then discuss the DriveWorks optimized low-level image and point cloud processing modules for processing incoming sensor data to enable advanced AV algorithms. DriveWorks also supports the DRIVE AGX hardware engines so that these modules can seamlessly run across the Xavier SoC, providing flexibility and performance.","Hope Allen, Product Manager, Autonomous Vehicles, NVIDIA",Engineering / Transportation
Smart Cities in the Cloud: NVIDIA Metropolis on Red Hat OpenShift [S21994],"We'll talk about the collaboration between NVIDIA and Red Hat, and demo the integration between the NVIDIA's Metropolis application running on EGX and Red Hat OpenShift (Kubernetes) in the public cloud.","Sujit Biswas, Principal Engineer and Data Scientist, NVIDIA",Engineering / Transportation
Super SloMo: High-Quality Estimation of Multiple Intermediate Frames for Video Interpolation [P22420],We present a computational approach to synthesize slow-motion videos from a plain one.,"Huaizu Jiang, Ph.D. Student, University of Massachusetts, Amherst",Engineering / Transportation
