Conference,Inc,Title,Length,Keywords,Entity,Singleton
NVIDIA GTC 2020,"Jack Deslippe, Application Performance Group Lead, NERSC",Enabling 800 Projects for GPU-Accelerated Science on Perlmutter at NERSC [S21582],268,"take advantage,new architecture,new architecture well,well highlight","The National Energy Research Scientific Computing Center,HPC,the U.S. Department of Energy Office of Science,NERSC,Perlmutter,Cray,AMD,The NERSC Exascale Science Application Program,GPU,genomics de novo assembly,AMReX","nersc,science,perlmutter,gpus,strategy,energy,preparing,application,enable,outcome,gpu"
NVIDIA GTC 2020,"Yuta Hasegawa, Scientist, Japan Atomic Energy Agency",Enhancing Intra-Node Multi-GPU Stencil Calculations on DGX-2 Using Concurrent-Addressing with Unified Memory [P21784],127,"memory usage,unified memory,japan atomic","the Japan Atomic Energy Agency,AMR,Unified Memory,CUDA,GPU,NVLink,Boltzmann","citylbm,amr,prediction,simulation,multigpu,implementation,gpu,nvlink,equation,mesh"
NVIDIA GTC 2020,"Evan Weinberg, DevTech Compute, NVIDIA",Exploiting Novel GPU Parallelism in the SNAP Interatomic Potential [S21976],123,"cuttingedge investigation,material behavior,material behavior via,behavior via classical,via classical molecular","SNAP,IAP,GPU,Kokkos","snap,iap,geometric,quantum,structure,calculation,memory"
NVIDIA GTC 2020,"Dan Ibanez, Staff Member, Sandia National Laboratories",Explosive DGX Performance for Weapon Component Modeling [P21870],40,"sandia national,sandia national laboratory,model explosive,model explosive weapon,explosive weapon component,weapon component using,component using sophisticated,using sophisticated simulation,poster show",Sandia National Laboratories,porting
NVIDIA GTC 2020,"Dirk Van Essendelft, General Engineer, The National Energy Technology Laboratory",Extensions of TensorFlow-Based Computational Fluid Dynamics [S21816],92,"national energy,national energy technology,energy technology laboratory,technology laboratory netl,laboratory netl recently,netl recently developed,completely tensorflowbased,completely tensorflowbased computational,tensorflowbased computational fluid","The National Energy Technology Laboratory,NETL,TensorFlow,Multiphase Flow with Interphase eXchanges,MFIX,NVIDIA,Multiphase Particle-In-Cell,AI/ML acceleration","multiphase,solver"
NVIDIA GTC 2020,"Jeremy Bernstein, Ph.D. Student, California Institute of Technology",Fromage Optimizer for Deep Neural Networks [P22300],45,"new geometric,new geometric characterization,neural network loss,network loss surface,loss surface called,surface called deep,called deep relative,deep relative trust,characterization suggests,new optimization,new optimization algorithm,call fromage","Fromage,Frobenius,Transformer,GAN",propose
NVIDIA GTC 2020,"David Hall, Senior Solution Architect, NVIDIA",GPU-Accelerated Deep Learning for Weather Climate and Space [s21255],101,"satellite observation,well demonstrate,use deep,use deep learning,tackle important,tackle important challenge,weather forecasting,weather forecasting climate,forecasting climate modeling,satellite observation well","the National Oceanic and Atmospheric Administration,NASA","accurate,processing"
NVIDIA GTC 2020,"Xiaoyun Wang, Ph.D. Candidate, University of California, Davis",GraphDefense: Toward Robust Large-Scale Graph Convolutional Network [P21806],135,"adversarial training,graph convolutional,graph convolutional network,semisupervised learning,previous work,adversarial perturbation,defense method","GraphDefense,Graph Convolutional Networks","gcns,robustness,large,proposed"
NVIDIA GTC 2020,"Tim Blattner, Computer Scientist, NIST",Hedgehog: A Performance-Oriented General Purpose Library that Exploits Multi-GPU Systems [s21227],98,"well present,well present hedgehog,generalpurpose library,taking advantage,powerful compute,powerful compute node,compute node multicore",Hedgehog,"manager,memory,dataflow"
NVIDIA GTC 2020,"Thiago Vallin Spina, Researcher, Brazilian Synchrotron Light Laboratory / CNPEM",High-Throughput 3D Image Reconstruction Visualization and Segmentation of Large-Scale Data at the Sirius Synchrotron Light Source [s21278],135,"3d image,well present,well present highly,present highly efficient,highly efficient tool,largescale 3d,largescale 3d image,3d image reconstruction,image reconstruction visualization","Sirius,CUDA","sirius,synchrotron,segmentation,developed"
NVIDIA GTC 2020,"Daniel Hugo C�mpora Prez, Research Postdoc, NIKHEF and University of Maastricht",High-Throughput Real-time Data Processing with GPUs at CERN [s21341],129,"particle collision,well present,performance consideration,system optimization,gpubased realtime","GPU,Switzerland,Allen","selection,software,reconstruction,allen,throughput"
NVIDIA GTC 2020,"Piotr Luszczek, Research Assistant Professor, University of Tennessee",HPL-AI: Benchmarking Half-Precision Hardware with Modern Numerical Linear Algebra [S21470],102,"well present,mixedprecision iterative,direct method,direct method used,hplartificial intelligence benchmark,kernelbased performance,kernelbased performance evaluation,modern hardware,modern hardware accelerator","HPL,GTC","implementation,instrumental"
NVIDIA GTC 2020,"Peetak Mitra, Computational Physics Intern, Los Alamos National Laboratory",Improving Geophysical Turbulence Models with Machine Learning [S21574],150,"geophysical flow,largescale geophysical,largescale geophysical flow,relatively smallscale,relatively smallscale process,leadingorder impact",GPU,"turbulence,simulation,prediction,mixing"
NVIDIA GTC 2020,"Maicon Faria, HPC Support Specialist, Barcelona Supercomputing Center",Improving Ocean Model Framework NEMO with GPU Port and Asynchronous Execution [P21955],74,"asynchronous execution,work describes,operational ocean,operational ocean model,ocean model framework,model framework nemo,routine porting,largescale cluster,largescale cluster using","NEMO,CUDA,GPU,Fortran/MPI",improvement
NVIDIA GTC 2020,"Brian Friesen, Application Performance Specialist, Lawrence Berkeley National Laboratory",Integrating NVIDIA Tesla V100 GPUs into a Cray System for a Diverse Simulation Machine Learning and Data Workload [S21569],151,"production system,hpc system,hpc system perlmutter,first gpuaccelerated","HPC,GPU,the U.S. Department of Energy’s National Energy Research Scientific Computing Center,Perlmutter,NERSC,the Knights Landing,Cray,the NERSC Exascale Science Application Program,NESAP,Cori","application,nersc,nesap,cori,energy,integrated,workload"
NVIDIA GTC 2020,"Richard Loft, Director of Technology Development, Computational and Information Systems Laboratory, National Center for Atmospheric Research",Interpretable Deep Learning for Hurricane Intensity Prediction [S21548],99,"rapid intensification,rapid intensification well,experience rapid,experience rapid increase,tropical storm,major hurricane,rapid intensification period,currently difficult",the Hurricane Weather Research,"intensity,couple"
NVIDIA GTC 2020,"Adam Moses, Computer Scientist, Naval Research Lab",Learning the Hard Parts: Scaling Reacting Flow Simulations with Machine Learning [S21740],133,"computational fluid,computational fluid dynamic,neural chemistry,neural chemistry solver,chemical source,chemical source term,new technique,overcoming bottleneck",CFD,"explore,machine"
NVIDIA GTC 2020,"Alper Gungor, Senior Research Engineer, Aselsan Research Center",Matrix-Free Real-time Online Reconstruction of Compressive Focal Plane Array Camera [P21865],138,"lowresolution sensor,previous method,matrix multiplication,real time,study proposes",,"reconstruction,online,compressive,highresolution,using,involve,image,camera"
NVIDIA GTC 2020,"Ronald Caplan, Computational Scientist, Predictive Science Inc.",Optimizing Stencil Operations in OpenACC [P21723],145,"stencil operation,directive option,used widely,hpc application,optimization challenge","HPC,CUDA,Nsight Systems","openacc,gpus,using,cuda,many,performance"
NVIDIA GTC 2020,"Takaaki Miyajima, Postdocoral Researcher, RIKEN Center for Computational Science",Performance Comparison of Search for Neighbor-Particle in MPS on Xeon Xeon Phi and GPU [P21969],87,"fluid dynamic,mp method,particlebased simulation,particlebased simulation used,computation fluid,computation fluid dynamic,wa originally,wa originally developed","MPS,Xeon,GPU","neighborparticles,xeon,simulating"
NVIDIA GTC 2020,"Charlene Yang, Application Performance Specialist, NERSC, Lawrence Berkeley National Laboratory",Roofline Performance Model for HPC and Deep-Learning Applications [s21565],98,"application well,roofline model,gpuaccelerated application,gpuaccelerated application well,application well cover,model explain,nsight systemscompute","Roofline,GPU,Nsight Systems/Compute,HPC,TensorFlow","performance,analyze,nvprof,automate"
NVIDIA GTC 2020,"Tim Blattner, Computer Scientist, NIST",Scalable Workflow System for Whole Slide Microscopy Analyses Using Neural Networks [P21983],98,"object detection,streaming asynchronous,streaming asynchronous highthroughput,asynchronous highthroughput workflow,joining traditional,joining traditional computer,traditional computer vision,artificial intelligence ,artificial intelligence  inference",,tensorrt
NVIDIA GTC 2020,"John Taylor, Program Leader, DST/CSIRO",Scaling Data by 109x and Compute for Deep-Learning Applications [S21390],63,"well explore,scalable application,artificial intelligence ,massive data,massive data set,data set first,set first well,first well cover,developed highly",HPC,"highresolution,optimized"
NVIDIA GTC 2020,"Ivo Kabadshow, Scientist, Jlich Supercomputing Centre",The Rocky Road to Tasking: Task Queues Reloaded [S21189],109,"task queue,well show,well present,irregular algorithm,tasking starting,tasking framework,finegrained task","C++,GPU","optimization,implementation,thread,parallelize,gpus,cuda"
NVIDIA GTC 2020,"Laura Morgenstern, Ph.D. Student, Computer Science, Jülich Supercomputing Centre",Tiny Tiny Tasks: Fine-Grained FMM Tasking on GPUs [P22059],127,"finegrained task,finegrained task parallelism,task parallelism occurring,many hpc,many hpc application,available tasking,available tasking approach","HPC,GPU,CPU","gpu,exploited,gpus"
NVIDIA GTC 2020,"Richard Loft, Director of Technology Development, Computational and Information Systems Laboratory, National Center for Atmospheric Research",Toward an Exascale Earth System Model with Machine Learning Components: An Update [S21834],124,"combining exascale,combining exascale gpu,exascale gpu computational,gpu computational power,machinelearning algorithm,machinelearning algorithm could","GPU,the U.S. National Center for Atmospheric Research,the Model for Prediction Across Scales-Atmosphere,MPAS-A,the MOM-6 Ocean Model,NCAR","atmospheric,direction,parameterizations,discus,begun,many,speculated"
NVIDIA GTC 2020,"Peetak Mitra, Computational Physics Intern, Los Alamos National Laboratory",Turbulence Forecasting via Neural ODEs [P22054],143,"reduced model,fluid turbulence,strong coupling,strong coupling across,broad range,scale furthermore,scale furthermore besides","Fluid,the Navier-Stokes","interaction,modeling,improve,characterized"
NVIDIA GTC 2020,"Douglas Jacobsen, Group Lead, Computational Systems Group, Lawrence Berkeley National Laboratory",Workload Management for Complex Workflows on a GPU-Enabled Heterogeneous System [s21608],141,"realtime computing,heterogeneous job,national energy,national energy research,energy research scientific,research scientific computing","The National Energy Research Scientific Computing Center,the U.S. Department of Energy,HPC","scheduling,scheduler,workflow,workload"
NVIDIA GTC 2020,"Tushar Katarki, Product Manager, Red Hat",Accelerate ML Lifecycle with Containers Kubernetes and NVIDIA GPUs (Presented by Red Hat) [S22516],140,"data scientist,machine learning modeling,kubernetes platform,data scientist desire,selfservice cloudlike","Jupyter Notebooks,Red Hat OpenShift","container,technology,easily,gpus,provide,capability,customer,example"
NVIDIA GTC 2020,"Qinghan Xue, Applied Data Scientist, IBM",AWDF: An Adaptive Weighted Deep Fusion Architecture for Multi-Modality Learning [P21985],133,"deep model,deep model fusion,getting lot,multimodality learning,multimodality learning problem,adaptive weighted","CareerCon,IEEE Big Data","awdf,propose,attention,dealing"
NVIDIA GTC 2020,"Rongqiang Cao, Associate Professor, Computer Network Information Center, Chinese Academy of Sciences",Container-Based Artificial Intelligence Applications Deployment Platform for GPU High Performance Computing Clusters [P21902],128,"hpc cluster,virtual machine,artificial intelligence application,root privilege,containerbased ai,containerbased artificial intelligence application,artificial intelligence application deployment,application deployment platform,deployment platform wa,platform wa proposed","HPC,GPU,PCI","gpu,implemented,solve"
NVIDIA GTC 2020,"David Wu, Senior Software Engineer, NVIDIA",CTR Inference Optimization on GPU [s21416],144,"nvidia gpu,ctr online,ctr model,inference model,ctr clickthroughrate,ctr clickthroughrate model,important model,internet business,search recommendation",,"computing,issue,advertising"
NVIDIA GTC 2020,"Manash Goswami, Principal Program Manager, Microsoft",Deploying your Models to GPU with ONNX Runtime for Inferencing in Cloud and Edge Endpoints [s21379],172,"edge device,onnx runtime,across cloud,device like,mostly trained","GPU,ONNX Runtime,ONNX,AML Notebooks,Azure IoT Edge","gpu,execution,application,using,azure"
NVIDIA GTC 2020,"Kirtana Venkatraman, Program Manager 2, Microsoft",Edge Computing for Building Machine Learning Pipelines Using Azure Stack (Presented by Microsoft) [S22473],67,"azure stack,machine learning,machine learning model,learning model need,built closer,source due,data sovereignty,data sovereignty requirement,sovereignty requirement microsoft",Microsoft,"edge,cloud,latency"
NVIDIA GTC 2020,"Bo Yang Hsueh, DevTech , NVIDIA",Faster Transformer [s21417],92,"transformer layer,faster transformer,transformer encoder,recently model,key component,key component show,component show breakthrough,show breakthrough performance,various deep","BERT,XLNet,CUTLASS","inference,bert,xlnet"
NVIDIA GTC 2020,"Haibin Lin, Applied Scientist, AWS AI, Amazon",From Hours to Minutes: The Journey of Optimizing Mask-RCNN and BERT Using MXNet [S22483],46,"deep learning,training large,training large deep,large deep learning,deep learning model,learning model like,model like mask,like mask rcnn,bert take,bert take lot,compute resource,compute resource using","BERT,MXNet,Amazon Web Services",
NVIDIA GTC 2020,"Yongzhe Wang, Software Engineer, Google",Google Cloud AutoML Video and Edge Deployment [S22022],103,"nvidia gpus,automachine learning edge,automachine learning edge video,google cloud,presenting automachine learning,presenting automachine learning edge,solution using,solution using nvidia","Google,Video Classification,Tensorflow,Jetson",
NVIDIA GTC 2020,"Minsik Cho, Program Director, IBM",GradZip: Gradient Compression Using Alternating Matrix Factorization for Large-scale Deep Learning [P22289],84,"deep learning,poster first,poster first explains,homomorphic algorithm,gradient compression,conventional sparseencodingbased,conventional sparseencodingbased approach",GradZip,"matrixfactorization,dense,thinking,gradzip"
NVIDIA GTC 2020,"Shashank Prasanna, Sr. Developer Advocate, AI/ML, Amazon Web Services",Improve ML Training Performance with Amazon SageMaker Debugger (Presented by Amazon Web Services) [S22493],104,"machine learning model,machine learning model training,progressively learning,correct value,different parameter,debug model,debug model characteristic,model characteristic without","Amazon,GPU","analyze,developer,challenging,ensure"
NVIDIA GTC 2020,"Yang Sun, Applied Research Scientist, IBM",Is the Label Trustworthy? Training Better Deep-Learning Models via Uncertainty Mining Net [P22055],134,"label noise,classifier performance,training deep,training deep neural,neural network,partially labeled,partially labeled data","Uncertainty Mining Net,UMN","umn,generative,uncertainty"
NVIDIA GTC 2020,"Abhishek Kolagunda, Applied Deep Learning Scientist, IBM",Manifold Regularization For Time Series Embedding [P22063],118,"timeseries data,multivariate timeseries,multivariate timeseries data,timeseries data ha,data ha also,ha also brought,long sequence",VAE,"vae,used,representation,challenge,parse,identify"
NVIDIA GTC 2020,"Zhenyu Gu, Staff Engineer, Alibaba Group",Performance Optimization on Quantized Deep-Learning Models [S22484],118,"inference performance,quantization 8bit,quantization 8bit ha,broadly adapted,computer visionrelated,computer visionrelated deep learning","GEMM,GPU","proposed,technique,transformation,im2col"
NVIDIA GTC 2020,"Grzegorz Karch, Engineer, ASIC, NVIDIA",PyTorch from Research to Production [S21928],83,"neural network,pytorch framework,production explore,production explore way,handle complex,handle complex neural,complex neural network,neural network architecture,deployment well,deployment well show",PyTorch,inference
NVIDIA GTC 2020,"Che-Rung Lee, Professor, National Tsing Hua University",qCUDA-ARM: Virtualization for Embedded GPU Architectures [P21851],113,"edge node,thing iot,compute resource,compute resource acquisition","GPU,CUDA","qcudaarm,application,virtualization,performance,native,emergence,changing,centralized"
NVIDIA GTC 2020,"Cyrus Vahid, Principal Solutions Engineer, AI Platforms, Amazon Web Services",Recommendation Systems Using Distributed Graph Convolutional Networks (GCN) on GPUs (Presented by Amazon Web Services) [S22491],83,"deep learning,far ha,mostly applied,structured data,however noneuclidean","Graph Convolutional Networks,Deep Graph Library,Apache MXNet","simple,image,sequence,timeseries,language,information"
NVIDIA GTC 2020,"Mingqin Li, Principal Software Engineer Manager",SPTAG and GPU Acceleration for Approximate Nearest Neighborhood Search [s21561],122,"space partitioning,well discus,approximate nearest,approximate nearest neighborhood,nearest neighborhood ann,neighborhood ann search,ann search algorithm","ANN,algorithm,RAPIDS,FAISS,GPU,SPTAG","gpu,hashing,accelerated,gpus,essential,many"
NVIDIA GTC 2020,"Paul DeCarlo, Senior Cloud Advocate, Microsoft",Visual Anomaly Detection using NVIDIA DeepStream with Azure IoT [S22675],211,"artificial intelligence model,iot edge,video stream","NVIDIA,IoT Central,Custom Vision","solution,device,realtime,operate,using,deepstream,azure,pipeline,nvidia,vision"
NVIDIA GTC 2020,"Alec Gunny, Solutions Architect, NVIDIA",Wide and Deep Recommender Inference on GPU [S21559],137,"deep model,well discus,well discus using,discus using gpus","Tensorflow,NVIDIA,GPU","inference,tensorrt,recommendation,machine,trained,tensorflow,engine,leverage,nvidia"
NVIDIA GTC 2020,"Venkat Krishnamurthy , VP Product, OmniSci",Accelerated Analytics Fit for Purpose: Scaling Out and Up (Presented by OmniSci) [S22556],110,"omnisci ha,omnisci ha demonstrated,massive scaling,massive scaling possible,scaling possible using,possible using gpus,visualization however","OmniSci,GPU","every,analytics,laptop,computation"
NVIDIA GTC 2020,"Adel El Hallak, Director of Product Management for NGC, NVIDIA",Accelerating AI Workflows with NGC [S22421],121,"artificial intelligence solution,artificial intelligence ha moved,ha moved beyond,moved beyond research,missioncritical production,missioncritical production ai,solving realworld,solving realworld problem,organization around,move faster","NVIDIA,NGC","sdks,looking"
NVIDIA GTC 2020,"Christopher Daley, HPC Performance Engineer, Lawrence Berkeley National Laboratory",Accelerating Applications for the NERSC Perlmutter Supercomputer Using OpenMP [s21387],122,"target offload,nvidia gpus","Perlmutter,NVIDIA,HPC,Fortran,GPU,NESAP,NERSC","openmp,application,perlmutter,nvidias,compiler,feature,included,others,nersc,early,nerscnvidia"
NVIDIA GTC 2020,"Christian Guzman-Ruiz, Junior Engineer, Barcelona Supercomputing Center",Accelerating Chemistry Modules in Atmospheric Models Using GPUs [S22005],139,"aerosolphase chemical,chemical process,novel solution,chemistry module,atmospheric model","The Multiscale Online Nonhydrostatic AtmospheRe CHemistry model,the Barcelona Supercomputing Center,EBI,KPP","used,gas,multiple,camp,explore"
NVIDIA GTC 2020,"Jeongkyu Shin, CEO/Researcher, Lablup Inc.",Accelerating Hyperparameter Tuning with Container-Level GPU Virtualization [S21463],96,"many people,many people think,hyperparameter tuning,hyperparameter tuning requires,large number,get optimal,get optimal result,optimal result quickly,generally true","GPU,TGS,ENAS,NNI,Backend","gpus,gpu"
NVIDIA GTC 2020,"Yuki Shindo, Staff, Computermind Corp.",Acceleration of Test Data Quality Assurance Technology Using Neuron Coverage [P21809],104,"deep learning system,unique highspeed,unique highspeed inference,highspeed inference library,automatically generate,misrecognition image","DL,DeepXplore","deepxplore,coverage,quality,processing,neuron"
NVIDIA GTC 2020,"Samuel Elliott, Director of NWP Solutions, TempoQuest Inc.",AceCAST GPU-Enabled Weather Research and Forecasting Model Development and Applications [P22064],148,"tqi ha,performance benefit,weather research,forecasting wrf,forecasting wrf model,opensource mesoscale","The Weather Research,WRF,HPC,TQI,GPU,AWS","operational,gpus,solution"
NVIDIA GTC 2020,"Kees van Kooten, Scientific Visualization Software Engineer, NVIDIA",Advanced Scientific Visualization with NVIDIA Omniverse [S21973],216,"scientific visualization,highest quality,highest quality visuals,scientific workflow,visualization well,historically scientific,historically scientific visualization,scientific visualization ha","NVIDIA,3D,PhysX. Further","omniverse,scientist,content"
NVIDIA GTC 2020,"Tom Durrant, Chief Development Officer, VividQ",Advances in Real-Time 3D Hologram Generation [S21248],113,"well introduce,well introduce vividqs,introduce vividqs software,vividqs software pipeline,3d point,3d point cloud,point cloud data","VividQ,3D,GPU","holographic,hologram,using,allows,gpus,facilitates,extraction"
